Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,BPCL,EQ,383.6,388.0,397.9,380.6,393.6,393.0,389.88,13938368,543424399905000.0,133560,4405316,0.3161
2021-02-02,BPCL,EQ,393.0,396.75,411.0,393.25,409.5,408.0,403.89,8876838,358525811815000.0,97195,3229175,0.3638
2021-02-03,BPCL,EQ,408.0,405.0,417.0,402.35,414.75,414.9,411.95,8509253,350537388945000.0,88136,3757484,0.4416
2021-02-04,BPCL,EQ,414.9,413.6,422.5,410.55,418.05,418.55,418.49,7599341,318021871115000.0,94469,2601051,0.3423
2021-02-05,BPCL,EQ,418.55,420.5,422.3,413.1,415.4,415.0,416.79,3861284,160933062240000.0,45703,1298742,0.33630000000000004
2021-02-08,BPCL,EQ,415.0,420.0,424.4,416.0,420.0,420.05,420.16,6322827,265660137480000.03,79568,2212815,0.35000000000000003
2021-02-09,BPCL,EQ,420.05,431.0,438.05,416.65,419.35,419.35,426.8,22577022,963580082429999.9,200533,6911993,0.3062
2021-02-10,BPCL,EQ,419.35,422.2,424.95,409.05,416.0,415.8,416.15,9580296,398681719295000.0,93016,3946779,0.41200000000000003
2021-02-11,BPCL,EQ,415.8,415.0,422.85,414.3,421.9,421.95,418.65,5729659,239873049190000.0,85125,1999311,0.3489
2021-02-12,BPCL,EQ,421.95,423.0,425.85,414.6,418.2,418.1,420.1,5470945,229832672869999.97,53873,2011669,0.3677
2021-02-15,BPCL,EQ,418.1,422.8,424.9,417.0,419.45,419.0,421.09,5518776,232389301080000.03,55954,1846270,0.3345
2021-02-16,BPCL,EQ,419.0,417.8,422.6,416.2,418.3,417.95,418.35,5397662,225811727469999.97,51091,2660501,0.4929
2021-02-17,BPCL,EQ,417.95,404.5,413.9,401.55,413.6,411.7,407.79,8589431,350270243195000.0,87482,2312652,0.26920000000000005
2021-02-18,BPCL,EQ,411.7,415.35,434.35,410.7,431.0,432.2,424.2,20755494,880445662245000.1,234653,7058773,0.3401
2021-02-19,BPCL,EQ,432.2,437.0,444.8,423.5,429.3,430.0,434.07,24446305,1061150230075000.0,252409,7028072,0.28750000000000003
2021-02-22,BPCL,EQ,430.0,429.3,435.25,418.0,418.8,422.55,429.08,9690341,415789705325000.0,120772,3298665,0.3404
2021-02-23,BPCL,EQ,422.55,428.0,442.7,425.8,437.35,435.25,436.76,14397828,628842693135000.0,158597,3977334,0.2762
2021-02-24,BPCL,EQ,435.25,440.0,445.0,436.1,438.5,438.7,441.15,5990683,264276061010000.0,74754,1927098,0.32170000000000004
2021-02-25,BPCL,EQ,438.7,441.95,467.8,441.85,461.3,461.55,457.51,18810829,860613986954999.9,182077,6110985,0.3249
2021-02-26,BPCL,EQ,461.55,454.95,466.35,440.25,449.9,449.85,454.09,18441539,837405075105000.0,197233,6388872,0.3464
2021-03-01,BPCL,EQ,449.85,456.0,463.85,450.1,455.9,455.25,457.0,6092750,278440269565000.0,64196,1548562,0.25420000000000004
2021-03-02,BPCL,EQ,455.25,474.5,482.4,462.0,470.0,469.0,472.96,26600333,1258078289310000.0,306906,3828672,0.1439
2021-03-03,BPCL,EQ,469.0,480.0,480.0,462.3,466.35,466.35,467.96,8837642,413563356495000.0,101677,1930875,0.21850000000000003
2021-03-04,BPCL,EQ,466.35,462.0,472.65,459.25,464.5,463.9,466.34,6278311,292781640950000.0,72087,1537295,0.24489999999999998
2021-03-05,BPCL,EQ,463.9,463.0,474.45,458.1,463.5,461.8,467.48,8896513,415892170485000.0,113603,1735818,0.19510000000000002
2021-03-08,BPCL,EQ,461.8,462.0,472.95,461.8,467.2,466.7,468.28,5674769,265738509600000.0,63190,1357302,0.23920000000000002
2021-03-09,BPCL,EQ,466.7,446.2,454.0,437.35,445.45,445.9,440.96,199790953,8810053010470000.0,432637,135572090,0.6786
2021-03-10,BPCL,EQ,445.9,451.0,451.9,442.05,445.95,445.5,446.62,11745802,524593923064999.94,128874,4421150,0.3764
