Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,44_obs_for_SMA
2021-01-01,BRITANNIA,EQ,3576.35,3575.0,3605.0,3563.05,3573.0,3567.8,3578.02,453083,162113959825000.0,27548,189208,0.41759999999999997,
2021-01-04,BRITANNIA,EQ,3567.8,3589.0,3593.9,3537.0,3567.0,3552.9,3555.92,698402,248346049990000.0,49346,426961,0.6113000000000001,
2021-01-05,BRITANNIA,EQ,3552.9,3549.0,3563.95,3540.0,3558.45,3551.1,3549.51,725278,257438224615000.0,32314,479432,0.6609999999999999,
2021-01-06,BRITANNIA,EQ,3551.1,3568.0,3602.0,3510.0,3541.65,3539.7,3557.45,1099588,391173476290000.0,71303,463988,0.42200000000000004,
2021-01-07,BRITANNIA,EQ,3539.7,3560.0,3567.95,3516.45,3558.2,3552.8,3546.38,621487,220402907680000.03,45491,309280,0.4976,
2021-01-08,BRITANNIA,EQ,3552.8,3574.0,3589.95,3532.85,3575.0,3575.25,3559.06,961239,342110354410000.0,71792,454740,0.4731,
2021-01-11,BRITANNIA,EQ,3575.25,3603.8,3625.0,3547.65,3613.0,3612.85,3604.57,1043630,376183602285000.0,66937,366920,0.35159999999999997,
2021-01-12,BRITANNIA,EQ,3612.85,3624.0,3648.8,3586.3,3631.0,3631.65,3625.38,893653,323982773520000.0,50732,425673,0.47630000000000006,
2021-01-13,BRITANNIA,EQ,3631.65,3640.0,3648.0,3600.0,3622.0,3621.15,3623.92,798273,289287668005000.0,71211,293931,0.3682,
2021-01-14,BRITANNIA,EQ,3621.15,3623.0,3704.9,3619.6,3662.55,3665.45,3676.6,1192074,438278436620000.0,78335,305015,0.2559,
2021-01-15,BRITANNIA,EQ,3665.45,3680.0,3685.0,3571.0,3606.0,3609.05,3619.29,597621,216296200630000.03,48271,221581,0.37079999999999996,
2021-01-18,BRITANNIA,EQ,3609.05,3609.05,3665.0,3575.0,3597.3,3607.85,3626.11,826497,299697253210000.0,45236,291013,0.3521,
2021-01-19,BRITANNIA,EQ,3607.85,3628.75,3649.85,3587.0,3605.0,3601.25,3605.63,594091,214206976925000.0,47274,254678,0.42869999999999997,
