Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,44_obs_for_SMA
2021-01-01,COALINDIA,EQ,135.45,135.4,136.25,135.05,135.5,135.35,135.51,6995084,94793820455000.0,42330,2455945,0.3511,
2021-01-04,COALINDIA,EQ,135.35,136.85,137.75,135.8,137.35,137.25,136.85,11669647,159699100855000.0,49612,2919755,0.2502,
2021-01-05,COALINDIA,EQ,137.25,136.75,136.75,134.4,135.15,135.15,135.12,12371842,167164222890000.0,64308,4153942,0.3358,
2021-01-06,COALINDIA,EQ,135.15,135.4,137.3,133.8,135.0,135.1,135.57,14133415,191606221310000.0,60724,5004757,0.35409999999999997,
2021-01-07,COALINDIA,EQ,135.1,136.5,137.5,135.5,136.5,136.5,136.29,17298525,235758224430000.03,83089,7517934,0.43460000000000004,
2021-01-08,COALINDIA,EQ,136.5,137.1,140.95,137.1,139.7,139.7,139.74,27964099,390772974985000.0,163024,11318989,0.4048,
2021-01-11,COALINDIA,EQ,139.7,140.5,143.0,140.3,141.8,141.7,141.8,24790683,351531710210000.0,111880,8640707,0.34850000000000003,
2021-01-12,COALINDIA,EQ,141.7,142.5,147.55,141.7,146.8,146.65,145.41,28433070,413444393655000.0,158349,8840489,0.3109,
2021-01-13,COALINDIA,EQ,146.65,148.5,148.8,143.5,145.55,145.8,146.75,21154236,310446324900000.0,93307,4384357,0.2073,
2021-01-14,COALINDIA,EQ,145.8,146.6,148.2,144.85,147.1,146.65,146.84,14755992,216671185155000.03,91577,4875794,0.33039999999999997,
2021-01-15,COALINDIA,EQ,146.65,146.8,147.6,142.35,143.55,143.25,144.83,10647008,154196937845000.0,56384,2481276,0.233,
2021-01-18,COALINDIA,EQ,143.25,143.3,143.9,136.6,138.05,138.7,138.99,17085592,237476889410000.0,86603,5097197,0.2983,
2021-01-19,COALINDIA,EQ,138.7,140.85,141.9,139.6,140.5,140.1,140.66,8951075,125904139865000.02,48877,1883956,0.21050000000000002,
2021-01-20,COALINDIA,EQ,140.1,140.5,141.95,138.65,141.15,141.5,140.08,11820498,165578947630000.0,47055,3064046,0.25920000000000004,
2021-01-21,COALINDIA,EQ,141.5,142.0,142.15,136.55,137.8,137.35,139.37,10828875,150920060595000.0,63998,3271597,0.30210000000000004,
2021-01-22,COALINDIA,EQ,137.35,137.35,137.8,132.5,133.55,133.2,134.55,14810848,199285234760000.0,80902,4242455,0.2864,
2021-01-25,COALINDIA,EQ,133.2,134.9,135.5,130.85,131.5,131.85,132.7,10157077,134783203584999.98,66798,2505526,0.24670000000000003,
2021-01-27,COALINDIA,EQ,131.85,132.0,132.55,128.7,129.25,129.15,130.36,11638766,151721935265000.0,63223,3591595,0.3086,
2021-01-28,COALINDIA,EQ,129.15,128.0,129.95,127.8,128.45,128.2,128.77,11970139,154142130545000.0,70998,3176366,0.26539999999999997,
2021-01-29,COALINDIA,EQ,128.2,129.25,129.65,125.25,126.0,125.9,127.82,15268785,195166089785000.0,62235,6229977,0.408,
2021-02-01,COALINDIA,EQ,125.9,126.4,129.75,125.85,129.3,129.0,127.82,12808349,163721354375000.0,55486,2802614,0.2188,
2021-02-02,COALINDIA,EQ,129.0,131.0,132.85,129.65,131.9,131.25,131.3,15485139,203325174125000.0,88444,3910995,0.25260000000000005,
2021-02-03,COALINDIA,EQ,131.25,131.25,138.0,131.25,137.0,137.25,135.34,25483402,344890251890000.0,95262,9194662,0.3608,
2021-02-04,COALINDIA,EQ,137.25,137.9,144.25,136.8,143.3,143.6,141.94,30751754,436494390635000.06,137727,8936682,0.29059999999999997,
2021-02-05,COALINDIA,EQ,143.6,144.1,144.3,139.35,140.8,140.85,141.42,19930467,281847713720000.0,81218,8186460,0.4108,
2021-02-08,COALINDIA,EQ,140.85,141.05,142.4,140.3,141.3,141.55,141.49,11810439,167102158155000.0,50738,4509098,0.38180000000000003,
2021-02-09,COALINDIA,EQ,141.55,141.5,143.45,138.7,139.4,139.25,141.42,8579689,121338041425000.0,49493,1915862,0.2233,
2021-02-10,COALINDIA,EQ,139.25,139.9,140.55,136.8,138.7,138.3,137.98,8709612,120179550175000.0,53694,2016305,0.23149999999999998,
2021-02-11,COALINDIA,EQ,138.3,138.3,139.5,136.0,136.85,137.15,137.92,14150298,195163104035000.0,70430,2578123,0.1822,
2021-02-12,COALINDIA,EQ,137.15,136.5,137.0,132.75,133.95,133.85,134.15,16453706,220722210330000.03,87293,4247377,0.2581,
2021-02-15,COALINDIA,EQ,133.85,134.5,134.85,132.0,132.25,132.25,132.81,10557047,140207809040000.02,61774,3710247,0.3514,
2021-02-16,COALINDIA,EQ,132.25,132.3,135.4,132.3,134.0,133.75,134.08,11735144,157339160830000.0,53471,2268901,0.1933,
2021-02-17,COALINDIA,EQ,133.75,133.3,135.75,132.9,135.4,135.2,134.69,8950258,120550204005000.0,41784,2050915,0.2291,
2021-02-18,COALINDIA,EQ,135.2,135.0,141.2,134.05,140.0,139.95,138.49,22069738,305635593125000.0,84255,6184695,0.2802,
2021-02-19,COALINDIA,EQ,139.95,139.95,143.2,137.25,139.0,139.25,140.25,22944780,321805208940000.0,97455,5431928,0.23670000000000002,
2021-02-22,COALINDIA,EQ,139.25,138.85,139.4,135.1,136.05,136.25,136.55,20401387,278582997144999.97,74554,6305270,0.3091,
2021-02-23,COALINDIA,EQ,136.25,137.6,138.6,136.2,136.9,136.9,137.33,19178437,263372198919999.97,67826,5598787,0.2919,
2021-02-24,COALINDIA,EQ,136.9,139.95,145.0,139.5,144.1,144.4,142.93,38775957,554224183160000.06,158413,10622039,0.27390000000000003,
2021-02-25,COALINDIA,EQ,144.4,146.9,157.7,145.75,156.9,156.1,152.65,85580477,1306412913650000.0,310743,16751013,0.1957,
2021-02-26,COALINDIA,EQ,156.1,156.15,163.0,150.5,151.8,152.2,155.14,94115857,1460158840190000.0,351215,14256510,0.1515,
2021-03-01,COALINDIA,EQ,152.2,155.5,157.1,153.7,154.65,154.35,154.95,22306110,345641205710000.0,113465,4499241,0.20170000000000002,
2021-03-02,COALINDIA,EQ,154.35,154.35,156.15,152.5,153.65,153.4,154.13,17565134,270729969500000.0,99881,4837518,0.2754,
2021-03-03,COALINDIA,EQ,153.4,155.0,157.3,153.8,154.9,154.9,155.31,17610904,273522014800000.0,96850,4578189,0.26,
2021-03-04,COALINDIA,EQ,154.9,154.0,154.9,151.7,152.2,152.05,152.65,17162557,261994146969999.97,86898,6576703,0.3832,139.59204545454543
2021-03-05,COALINDIA,EQ,152.05,152.0,152.7,149.7,151.7,151.1,151.23,17323282,261980069510000.0,72443,6180682,0.3568,139.95
