Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,GRASIM,EQ,1055.65,1060.0,1130.8,1047.35,1130.5,1125.65,1092.85,2099126,229402238750000.0,60712,516469,0.24600000000000002
2021-02-02,GRASIM,EQ,1125.65,1144.0,1209.9,1136.45,1190.0,1190.0,1182.6,4122906,487573411905000.0,104344,931805,0.226
2021-02-03,GRASIM,EQ,1190.0,1178.1,1205.5,1172.25,1180.1,1190.85,1191.92,2427085,289289926620000.0,64409,652566,0.26890000000000003
2021-02-04,GRASIM,EQ,1190.85,1180.0,1217.45,1171.05,1187.0,1188.5,1196.31,2659290,318132649620000.0,68786,898093,0.33770000000000006
2021-02-05,GRASIM,EQ,1188.5,1188.5,1208.8,1173.0,1185.8,1186.1,1188.23,1636133,194410198100000.0,58845,371641,0.22710000000000002
2021-02-08,GRASIM,EQ,1186.1,1186.0,1220.0,1185.0,1213.0,1210.8,1206.34,1955804,235935700885000.0,46930,580951,0.297
2021-02-09,GRASIM,EQ,1210.8,1210.0,1226.5,1204.0,1221.0,1217.95,1216.57,1727089,210112812920000.0,48558,520365,0.3013
2021-02-10,GRASIM,EQ,1217.95,1216.0,1249.0,1216.0,1231.0,1231.4,1236.38,3264009,403554973420000.0,97031,684843,0.20980000000000001
2021-02-11,GRASIM,EQ,1231.4,1223.0,1244.8,1221.6,1236.7,1235.45,1235.73,1216492,150325884190000.0,35414,363779,0.299
2021-02-12,GRASIM,EQ,1235.45,1244.0,1254.8,1221.05,1239.75,1242.1,1242.85,3421387,425226287310000.0,106772,612692,0.1791
2021-02-15,GRASIM,EQ,1242.1,1257.05,1258.6,1216.75,1234.4,1227.95,1229.51,1914247,235357939790000.0,46416,416011,0.21730000000000002
2021-02-16,GRASIM,EQ,1227.95,1234.4,1257.0,1225.6,1242.0,1243.75,1242.39,1561647,194016771905000.0,37314,404597,0.2591
2021-02-17,GRASIM,EQ,1243.75,1228.1,1249.0,1228.0,1237.9,1238.45,1237.98,1048606,129815283030000.0,25875,338141,0.3225
2021-02-18,GRASIM,EQ,1238.45,1238.45,1247.65,1213.0,1225.65,1229.65,1230.53,1536486,189069872920000.0,36237,526316,0.3425
2021-02-19,GRASIM,EQ,1229.65,1231.75,1239.7,1210.0,1221.5,1218.0,1224.62,1314508,160977063360000.0,32796,359141,0.2732
2021-02-22,GRASIM,EQ,1218.0,1221.5,1235.0,1215.0,1226.0,1230.5,1225.67,1128617,138331054715000.02,28087,300674,0.2664
2021-02-23,GRASIM,EQ,1230.5,1239.0,1249.9,1221.6,1229.0,1231.5,1232.63,1434663,176840334630000.0,48980,319981,0.223
2021-02-24,GRASIM,EQ,1231.5,1239.0,1257.0,1231.25,1255.7,1250.2,1243.1,441927,54936036650000.0,17626,124749,0.2823
2021-02-25,GRASIM,EQ,1250.2,1258.0,1289.0,1254.0,1271.65,1270.45,1270.41,1942025,246715887585000.0,61246,558617,0.2876
2021-02-26,GRASIM,EQ,1270.45,1255.0,1270.0,1190.85,1200.0,1200.8,1222.95,2798547,342249077825000.0,62177,1344332,0.4804
2021-03-01,GRASIM,EQ,1200.8,1206.95,1270.0,1202.2,1270.0,1265.95,1247.63,1601364,199790994530000.0,40467,283557,0.1771
2021-03-02,GRASIM,EQ,1265.95,1275.0,1298.5,1261.0,1295.8,1294.75,1283.66,1954073,250836801140000.0,61337,732412,0.37479999999999997
2021-03-03,GRASIM,EQ,1294.75,1299.0,1343.0,1290.0,1316.0,1318.1,1321.19,2243838,296453105420000.0,61220,789640,0.3519
2021-03-04,GRASIM,EQ,1318.1,1306.0,1360.0,1300.5,1353.1,1350.4,1336.27,1950846,260684801240000.0,51877,664533,0.3406
2021-03-05,GRASIM,EQ,1350.4,1348.8,1371.7,1324.0,1335.5,1339.35,1340.1,2714173,363725189085000.0,75522,1286867,0.47409999999999997
2021-03-08,GRASIM,EQ,1339.35,1339.95,1367.7,1331.55,1344.0,1344.25,1349.72,1400679,189052295075000.0,43599,453295,0.3236
2021-03-09,GRASIM,EQ,1344.25,1382.0,1408.0,1361.05,1367.05,1366.35,1383.06,5078891,702442960090000.0,130348,1506761,0.2967
2021-03-10,GRASIM,EQ,1366.35,1378.0,1389.35,1360.0,1388.9,1385.05,1375.02,1085941,149318954935000.0,40642,338624,0.3118
2021-03-12,GRASIM,EQ,1385.05,1395.0,1404.95,1375.0,1375.8,1379.5,1390.11,1206112,167663286710000.0,42988,545299,0.4521
2021-03-15,GRASIM,EQ,1379.5,1389.0,1391.9,1347.0,1379.9,1384.1,1369.67,970925,132984638345000.0,28835,287053,0.2956
2021-03-16,GRASIM,EQ,1384.1,1380.1,1397.75,1375.9,1389.0,1384.5,1387.19,1176583,163214014500000.0,30612,421770,0.35850000000000004
2021-03-17,GRASIM,EQ,1384.5,1382.6,1394.9,1361.3,1368.9,1367.1,1371.59,1005552,137920155655000.0,29134,463121,0.4606
2021-03-18,GRASIM,EQ,1367.1,1392.0,1399.9,1372.0,1392.0,1387.8,1384.44,1790541,247889697400000.0,52552,380007,0.2122
2021-03-19,GRASIM,EQ,1387.8,1380.6,1415.0,1363.0,1414.0,1411.25,1394.86,2431340,339137112240000.0,59641,946306,0.38920000000000005
2021-03-22,GRASIM,EQ,1411.25,1419.0,1428.0,1401.25,1416.0,1413.9,1414.29,1587634,224537228950000.0,57101,381759,0.24050000000000002
2021-03-23,GRASIM,EQ,1413.9,1413.9,1422.5,1393.85,1409.35,1411.25,1407.54,1004001,141317482790000.0,34926,278445,0.2773
2021-03-24,GRASIM,EQ,1411.25,1409.0,1409.0,1379.65,1387.6,1387.65,1394.47,1490308,207818234835000.0,36292,674855,0.45280000000000004
2021-03-25,GRASIM,EQ,1387.65,1383.5,1400.45,1353.6,1365.2,1372.75,1381.54,2165870,299223824235000.0,53939,776314,0.35840000000000005
2021-03-26,GRASIM,EQ,1372.75,1381.0,1411.45,1379.0,1409.6,1405.6,1400.16,1764994,247127389494999.97,42116,838176,0.47490000000000004
2021-03-30,GRASIM,EQ,1405.6,1416.6,1441.65,1395.75,1418.45,1422.6,1422.48,2574303,366188623520000.0,66750,1053972,0.4094
2021-03-31,GRASIM,EQ,1422.6,1417.0,1456.0,1410.0,1454.9,1450.55,1442.06,1242119,179121490220000.0,38189,365266,0.29410000000000003
2021-04-01,GRASIM,EQ,1450.55,1460.0,1467.0,1436.95,1453.05,1454.5,1451.76,1270201,184402158335000.0,43912,303647,0.2391
2021-04-05,GRASIM,EQ,1454.5,1455.0,1472.7,1425.1,1444.0,1446.5,1448.17,1396534,202241690845000.0,33461,363990,0.2606
2021-04-06,GRASIM,EQ,1446.5,1447.0,1449.25,1426.0,1427.1,1432.55,1435.36,736903,105772452820000.0,22641,201496,0.27340000000000003
2021-04-07,GRASIM,EQ,1432.55,1427.8,1444.5,1427.8,1436.0,1437.4,1436.44,606884,87175344195000.0,17758,234477,0.3864
2021-04-08,GRASIM,EQ,1437.4,1446.8,1463.3,1433.55,1450.0,1447.8,1449.66,1566826,227136623625000.0,44125,766992,0.48950000000000005
2021-04-09,GRASIM,EQ,1447.8,1455.0,1469.35,1432.85,1437.7,1440.0,1450.86,1125347,163271564025000.0,36972,352519,0.31329999999999997
2021-04-12,GRASIM,EQ,1440.0,1417.95,1424.95,1367.55,1378.5,1376.6,1390.66,1323690,184080520575000.0,46007,417453,0.3154
2021-04-13,GRASIM,EQ,1376.6,1372.8,1406.7,1370.6,1389.55,1392.2,1392.56,1423254,198197250995000.0,47897,488305,0.3431
2021-04-15,GRASIM,EQ,1392.2,1393.0,1399.95,1325.0,1349.0,1349.25,1343.53,2008929,269906102550000.0,61106,665921,0.3315
2021-04-16,GRASIM,EQ,1349.25,1343.0,1380.0,1341.0,1347.05,1353.2,1359.01,1437982,195422784450000.0,41869,473999,0.3296
2021-04-19,GRASIM,EQ,1353.2,1330.3,1339.0,1305.25,1321.0,1324.7,1319.85,1236979,163263014145000.0,47416,476996,0.38560000000000005
2021-04-20,GRASIM,EQ,1324.7,1351.1,1373.35,1281.6,1283.0,1291.9,1314.28,3688197,484731924910000.06,107520,1833151,0.49700000000000005
2021-04-22,GRASIM,EQ,1291.9,1271.9,1313.65,1270.3,1305.05,1300.2,1292.77,1868808,241593453144999.97,61512,731614,0.3915
2021-04-23,GRASIM,EQ,1300.2,1299.0,1323.15,1262.0,1285.0,1278.1,1286.39,2839747,365303239180000.0,87583,1325496,0.4668
2021-04-26,GRASIM,EQ,1278.1,1285.0,1321.0,1285.0,1320.0,1312.35,1303.61,1233546,160806626675000.0,36437,383238,0.31070000000000003
2021-04-27,GRASIM,EQ,1312.35,1320.0,1339.2,1308.0,1338.0,1331.2,1323.07,1236334,163575456630000.0,48465,447553,0.36200000000000004
2021-04-28,GRASIM,EQ,1331.2,1337.45,1349.0,1321.15,1347.25,1341.15,1337.11,1283746,171651105680000.0,33235,618386,0.4817
2021-04-29,GRASIM,EQ,1341.15,1354.4,1369.5,1332.3,1352.0,1350.7,1348.65,1793007,241814343060000.0,52053,872179,0.4864
2021-04-30,GRASIM,EQ,1350.7,1342.0,1407.4,1333.0,1401.1,1401.75,1386.13,3261678,452111640235000.06,87943,1445017,0.443
2021-05-03,GRASIM,EQ,1401.75,1396.6,1425.05,1374.25,1414.0,1414.55,1404.78,1786884,251018710590000.0,63547,563903,0.3156
2021-05-04,GRASIM,EQ,1414.55,1415.0,1448.9,1404.0,1418.0,1415.95,1425.28,2071008,295177009105000.0,83352,711453,0.3435
2021-05-05,GRASIM,EQ,1415.95,1420.1,1454.95,1405.0,1419.0,1420.9,1428.65,2157276,308199938210000.0,87102,648878,0.3008
2021-05-06,GRASIM,EQ,1420.9,1420.0,1450.0,1418.1,1447.9,1447.9,1439.19,1636815,235569151515000.0,39417,761146,0.465
2021-05-07,GRASIM,EQ,1447.9,1450.0,1461.9,1433.3,1448.0,1449.6,1448.52,1267488,183597562685000.0,47392,562783,0.444
2021-05-10,GRASIM,EQ,1449.6,1460.0,1475.0,1430.25,1443.0,1444.55,1447.59,2072611,300029971695000.0,66639,681934,0.329
2021-05-11,GRASIM,EQ,1444.55,1425.0,1468.95,1425.0,1449.5,1450.15,1453.09,1521151,221036192705000.03,61809,554401,0.36450000000000005
2021-05-12,GRASIM,EQ,1450.15,1451.95,1456.65,1408.05,1410.0,1412.35,1426.42,1349197,192451824580000.0,33535,444310,0.3293
2021-05-14,GRASIM,EQ,1412.35,1420.0,1421.95,1354.85,1373.1,1367.0,1371.98,1240252,170160184110000.0,39286,430661,0.3472
2021-05-17,GRASIM,EQ,1367.0,1373.1,1400.4,1362.45,1394.0,1393.85,1386.92,752061,104305100335000.0,27875,168758,0.22440000000000002
2021-05-18,GRASIM,EQ,1393.85,1405.1,1427.85,1386.1,1393.0,1392.4,1399.07,1045311,146246844485000.0,28712,295638,0.2828
2021-05-19,GRASIM,EQ,1392.4,1391.0,1421.9,1380.4,1384.25,1389.7,1402.17,908858,127437652030000.0,32154,135197,0.14880000000000002
2021-05-20,GRASIM,EQ,1389.7,1389.0,1389.0,1365.1,1376.0,1375.25,1376.46,882951,121534704745000.0,25398,318020,0.3602
2021-05-21,GRASIM,EQ,1375.25,1380.0,1386.95,1365.0,1370.0,1371.85,1371.9,740146,101540546415000.0,28774,280053,0.37840000000000007
2021-05-24,GRASIM,EQ,1371.85,1372.65,1376.4,1350.6,1375.0,1370.75,1364.44,1445175,197184882250000.0,45369,452358,0.313
2021-05-25,GRASIM,EQ,1370.75,1380.0,1399.25,1354.2,1378.0,1374.9,1373.93,3091345,424729585265000.0,100700,373842,0.12090000000000001
2021-05-26,GRASIM,EQ,1374.9,1385.0,1431.95,1381.05,1408.0,1409.4,1409.92,4302562,606627991765000.0,111898,689551,0.16030000000000003
2021-05-27,GRASIM,EQ,1409.4,1414.95,1436.25,1393.0,1426.2,1417.15,1416.17,4451326,630384350915000.0,69127,3005396,0.6752
2021-05-28,GRASIM,EQ,1417.15,1428.2,1480.0,1421.0,1465.0,1465.45,1455.6,2689838,391532549115000.0,76118,508878,0.18920000000000003
