Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,HDFCBANK,EQ,1390.5,1410.25,1482.5,1401.0,1480.0,1476.75,1439.43,13185272,1897923148945000.0,301952,6454236,0.48950000000000005
2021-02-02,HDFCBANK,EQ,1476.75,1501.0,1578.5,1497.4,1560.5,1560.55,1556.51,21210103,3301380164000000.0,416712,10262616,0.4839
2021-02-03,HDFCBANK,EQ,1560.55,1579.0,1581.7,1542.0,1571.0,1574.8,1565.97,10118627,1584549869150000.0,316129,4768384,0.4712
2021-02-04,HDFCBANK,EQ,1574.8,1566.0,1588.0,1543.45,1574.0,1579.1,1568.3,12242342,1919971304634999.8,307724,5702305,0.4658
2021-02-05,HDFCBANK,EQ,1579.1,1548.0,1618.25,1548.0,1597.2,1597.6,1595.45,13527358,2158222844300000.0,274934,5044918,0.3729
2021-02-08,HDFCBANK,EQ,1597.6,1620.0,1631.65,1595.7,1609.0,1605.25,1614.56,8723790,1408507607330000.0,228373,3412505,0.3912
2021-02-09,HDFCBANK,EQ,1605.25,1610.0,1628.0,1586.7,1609.95,1611.85,1611.29,9210683,1484106226030000.0,198426,3770007,0.4093
2021-02-10,HDFCBANK,EQ,1611.85,1608.35,1614.85,1567.0,1592.5,1581.75,1592.85,9894003,1575968771860000.0,229610,4736412,0.47869999999999996
2021-02-11,HDFCBANK,EQ,1581.75,1582.0,1597.8,1564.2,1576.0,1572.35,1577.79,6824309,1076729591660000.0,192335,2807165,0.41130000000000005
2021-02-12,HDFCBANK,EQ,1572.35,1573.9,1592.5,1573.0,1589.55,1581.95,1584.36,4955053,785057295805000.0,164667,1476085,0.2979
2021-02-15,HDFCBANK,EQ,1581.95,1600.1,1625.0,1596.7,1624.95,1616.6,1608.22,5177622,832677674440000.0,148039,1992888,0.3849
2021-02-16,HDFCBANK,EQ,1616.6,1621.2,1641.0,1608.45,1625.5,1626.65,1625.28,6948679,1129354490015000.0,180673,1990683,0.2865
2021-02-17,HDFCBANK,EQ,1626.65,1620.0,1621.8,1583.0,1586.2,1586.5,1602.21,6397213,1024965889150000.0,154614,2731632,0.42700000000000005
2021-02-18,HDFCBANK,EQ,1586.5,1605.95,1605.95,1548.0,1559.0,1554.3,1570.9,7360280,1156226154035000.0,260135,2557293,0.34740000000000004
2021-02-19,HDFCBANK,EQ,1554.3,1545.0,1564.2,1533.0,1543.9,1539.1,1547.93,8569754,1326535523280000.0,248392,3611013,0.4214
2021-02-22,HDFCBANK,EQ,1539.1,1545.05,1573.9,1539.45,1542.0,1548.0,1557.44,14725919,2293472811795000.0,299769,7734714,0.5252
