Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,HDFCLIFE,EQ,677.95,678.3,713.3,668.5,698.25,699.05,693.02,8383807,581016180470000.0,191392,3718156,0.4435
2021-02-02,HDFCLIFE,EQ,699.05,710.5,712.0,674.5,681.45,681.05,685.47,6702065,459405325020000.0,186604,3371126,0.503
2021-02-03,HDFCLIFE,EQ,681.05,685.0,695.0,679.0,689.0,689.2,688.43,2902411,199809406380000.0,75002,1185216,0.40840000000000004
2021-02-04,HDFCLIFE,EQ,689.2,685.25,690.65,678.15,682.0,680.4,682.9,3379697,230798648785000.0,74664,2099820,0.6213000000000001
2021-02-05,HDFCLIFE,EQ,680.4,682.6,684.95,672.4,681.35,681.55,677.41,2759333,186919450830000.0,125060,1534420,0.5561
2021-02-08,HDFCLIFE,EQ,681.55,685.85,691.4,677.25,683.35,684.05,685.85,3887493,266621781535000.0,92792,1736173,0.4466
2021-02-09,HDFCLIFE,EQ,684.05,688.7,710.2,687.95,708.9,704.9,703.29,7331068,515586994605000.0,151664,2890113,0.39420000000000005
2021-02-10,HDFCLIFE,EQ,704.9,710.05,723.9,710.0,719.85,719.05,718.36,8514545,611653318815000.0,174202,3220990,0.37829999999999997
2021-02-11,HDFCLIFE,EQ,719.05,721.0,726.45,710.3,713.0,714.2,719.93,3044979,219217337860000.0,61470,1311405,0.4307
2021-02-12,HDFCLIFE,EQ,714.2,713.95,720.0,708.25,709.35,710.95,715.26,1760221,125902110330000.0,60154,773613,0.43950000000000006
2021-02-15,HDFCLIFE,EQ,710.95,713.5,717.35,694.2,696.35,695.25,703.22,3871100,272223602575000.0,91544,2064550,0.5333
2021-02-16,HDFCLIFE,EQ,695.25,696.4,704.0,686.95,696.0,695.35,695.03,3066134,213105400880000.0,62410,1046290,0.3412
2021-02-17,HDFCLIFE,EQ,695.35,696.0,711.5,693.0,704.0,703.1,706.39,3533494,249603462044999.97,74733,1376914,0.3897
2021-02-18,HDFCLIFE,EQ,703.1,703.5,715.95,702.0,713.2,713.45,712.5,2949918,210180788570000.0,61547,1614660,0.5474
2021-02-19,HDFCLIFE,EQ,713.45,715.3,723.45,703.1,710.0,710.65,713.7,3787638,270325132900000.0,76987,1220127,0.3221
2021-02-22,HDFCLIFE,EQ,710.65,711.0,713.65,688.05,690.0,690.6,695.76,3110151,216391038965000.0,84217,1409045,0.45299999999999996
2021-02-23,HDFCLIFE,EQ,690.6,693.5,712.85,690.15,706.15,705.7,705.17,4693570,330977248510000.0,76975,2449136,0.5218
2021-02-24,HDFCLIFE,EQ,705.7,712.05,721.5,697.0,719.0,718.8,716.38,2362499,169243552550000.0,59399,1078288,0.45640000000000003
2021-02-25,HDFCLIFE,EQ,718.8,724.0,744.0,721.0,734.95,733.5,735.57,5635556,414536602870000.0,123795,1935798,0.3435
2021-02-26,HDFCLIFE,EQ,733.5,725.95,730.9,693.95,699.75,700.65,706.33,13122512,926887098204999.9,159823,7751719,0.5907
2021-03-01,HDFCLIFE,EQ,700.65,711.3,713.5,700.15,707.0,705.25,706.8,2210665,156249077590000.0,59606,946712,0.4282
2021-03-02,HDFCLIFE,EQ,705.25,714.95,727.8,706.25,724.4,720.8,713.65,2446910,174623097155000.0,50254,1202381,0.4914
2021-03-03,HDFCLIFE,EQ,720.8,724.0,731.5,721.1,726.45,727.5,726.12,1714037,124458951470000.0,45214,797878,0.46549999999999997
2021-03-04,HDFCLIFE,EQ,727.5,721.0,728.5,713.0,722.5,720.5,721.21,2122634,153086866695000.0,50422,1135746,0.5351
2021-03-05,HDFCLIFE,EQ,720.5,723.0,724.75,711.3,717.2,717.25,719.38,2140241,153963960245000.0,51805,1122039,0.5243
2021-03-08,HDFCLIFE,EQ,717.25,721.9,736.95,715.0,728.4,722.95,727.48,3203722,233063606710000.0,69816,1293655,0.40380000000000005
2021-03-09,HDFCLIFE,EQ,722.95,732.0,746.0,732.0,740.0,740.2,740.13,5412952,400628443835000.0,118177,1590493,0.2938
2021-03-10,HDFCLIFE,EQ,740.2,743.15,746.0,725.1,728.8,731.35,732.2,2422642,177385366065000.0,54907,930424,0.3841
2021-03-12,HDFCLIFE,EQ,731.35,739.8,739.8,710.0,711.8,710.8,718.69,3271450,235115935090000.0,110121,1286615,0.3933
