Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,HEROMOTOCO,EQ,3256.05,3300.0,3360.8,3217.25,3356.0,3340.65,3298.59,1285163,423923012320000.0,89587,369460,0.28750000000000003
2021-02-02,HEROMOTOCO,EQ,3340.65,3400.0,3400.0,3261.0,3290.6,3293.85,3307.88,1751516,579381029815000.0,117430,378115,0.2159
2021-02-03,HEROMOTOCO,EQ,3293.85,3296.55,3422.0,3268.0,3407.65,3380.8,3351.99,1077971,361334561135000.0,71065,313765,0.2911
2021-02-04,HEROMOTOCO,EQ,3380.8,3441.0,3515.0,3404.1,3442.0,3440.7,3452.14,2425660,837372793775000.0,135934,374059,0.1542
2021-02-05,HEROMOTOCO,EQ,3440.7,3500.0,3560.0,3366.0,3425.8,3429.2,3448.88,2719249,937835951370000.1,155888,343824,0.1264
2021-02-08,HEROMOTOCO,EQ,3429.2,3478.0,3506.9,3415.4,3482.75,3495.0,3476.44,1004959,349368270725000.0,78602,282160,0.2808
2021-02-09,HEROMOTOCO,EQ,3495.0,3461.0,3538.0,3456.35,3498.0,3499.45,3511.29,1543021,541799040055000.0,113457,776626,0.5033
2021-02-10,HEROMOTOCO,EQ,3499.45,3490.0,3568.75,3485.25,3538.0,3538.95,3526.22,1477082,520851191270000.0,98193,433211,0.2933
2021-02-11,HEROMOTOCO,EQ,3538.95,3524.0,3554.0,3473.55,3540.0,3541.5,3523.75,757116,266788406000000.0,48353,145948,0.19280000000000003
2021-02-12,HEROMOTOCO,EQ,3541.5,3535.95,3580.0,3502.9,3512.0,3515.75,3538.25,566161,200321744170000.0,32248,86054,0.152
2021-02-15,HEROMOTOCO,EQ,3515.75,3488.95,3506.15,3452.0,3468.3,3465.4,3477.96,809861,281666078665000.0,44803,187245,0.23120000000000002
2021-02-16,HEROMOTOCO,EQ,3465.4,3470.0,3485.3,3432.0,3467.75,3461.55,3449.81,759332,261955077019999.97,41301,188529,0.2483
2021-02-17,HEROMOTOCO,EQ,3461.55,3463.45,3595.0,3457.25,3583.0,3584.0,3552.31,1946207,691352292485000.0,98269,575591,0.2958
2021-02-18,HEROMOTOCO,EQ,3584.0,3579.65,3629.05,3506.0,3523.05,3522.85,3569.14,1701157,607165962910000.0,120356,549609,0.32310000000000005
2021-02-19,HEROMOTOCO,EQ,3522.85,3522.85,3522.85,3370.0,3390.75,3389.7,3428.43,995322,341238941290000.0,58960,271530,0.27280000000000004
2021-02-22,HEROMOTOCO,EQ,3389.7,3400.0,3432.95,3350.15,3375.1,3414.15,3398.97,921345,313162562845000.0,60212,254871,0.2766
2021-02-23,HEROMOTOCO,EQ,3414.15,3414.15,3479.55,3377.05,3420.0,3405.45,3431.06,1069537,366964160655000.0,64744,364347,0.3407
2021-02-24,HEROMOTOCO,EQ,3405.45,3440.0,3500.0,3351.1,3442.0,3441.6,3442.98,823330,283470904935000.0,41769,309192,0.3755
2021-02-25,HEROMOTOCO,EQ,3441.6,3450.0,3460.0,3402.25,3435.8,3434.4,3425.95,897962,307637535455000.0,84000,406938,0.4532
2021-02-26,HEROMOTOCO,EQ,3434.4,3405.0,3423.65,3199.8,3218.0,3224.0,3302.26,1880371,620946779795000.0,103281,838947,0.4462
2021-03-01,HEROMOTOCO,EQ,3224.0,3255.0,3363.05,3250.0,3352.0,3350.2,3332.23,1176879,392162671160000.0,64814,351979,0.29910000000000003
2021-03-02,HEROMOTOCO,EQ,3350.2,3352.0,3490.0,3351.5,3484.95,3476.4,3444.11,1402320,482974959214999.94,84727,298275,0.2127
2021-03-03,HEROMOTOCO,EQ,3476.4,3510.0,3510.9,3394.0,3422.9,3424.35,3423.27,965062,330366599345000.0,61372,273620,0.28350000000000003
2021-03-04,HEROMOTOCO,EQ,3424.35,3398.0,3460.0,3368.25,3429.9,3419.85,3426.88,934953,320396744100000.0,52423,327162,0.34990000000000004
2021-03-05,HEROMOTOCO,EQ,3419.85,3415.0,3491.5,3394.0,3460.0,3461.7,3453.97,1017875,351571278440000.0,56722,294707,0.2895
2021-03-08,HEROMOTOCO,EQ,3461.7,3461.65,3489.5,3422.7,3460.05,3463.95,3462.01,749107,259341538105000.03,42517,280122,0.3739
2021-03-09,HEROMOTOCO,EQ,3463.95,3465.05,3490.0,3416.5,3448.3,3448.85,3451.27,564852,194945524720000.0,45663,173403,0.307
2021-03-10,HEROMOTOCO,EQ,3448.85,3449.0,3475.0,3407.85,3425.0,3419.35,3437.77,787897,270860714015000.0,48711,328117,0.4164
2021-03-12,HEROMOTOCO,EQ,3419.35,3355.0,3419.0,3310.0,3350.0,3350.55,3362.2,1098158,369222704495000.0,59850,452359,0.4119
2021-03-15,HEROMOTOCO,EQ,3350.55,3360.0,3369.4,3243.0,3269.0,3264.15,3279.29,781236,256190120344999.97,57018,395264,0.5059
2021-03-16,HEROMOTOCO,EQ,3264.15,3298.95,3300.0,3248.0,3254.0,3255.05,3266.96,523881,171149837640000.0,38988,179074,0.3418
2021-03-17,HEROMOTOCO,EQ,3255.05,3257.0,3278.9,3175.0,3187.0,3190.55,3227.99,991815,320157052005000.0,59807,440108,0.4437
2021-03-18,HEROMOTOCO,EQ,3190.55,3217.7,3217.7,3072.3,3112.5,3107.2,3138.41,1472097,462004830210000.06,77502,686378,0.46630000000000005
2021-03-19,HEROMOTOCO,EQ,3107.2,3085.0,3132.05,3036.0,3127.0,3119.15,3084.25,1554560,479465423989999.94,62386,746108,0.47990000000000005
2021-03-22,HEROMOTOCO,EQ,3119.15,3131.6,3143.95,3081.15,3100.0,3095.85,3111.88,619756,192860518660000.0,46285,252268,0.40700000000000003
2021-03-23,HEROMOTOCO,EQ,3095.85,3107.9,3132.0,3060.55,3068.0,3067.45,3092.6,944310,292037025135000.0,54995,440915,0.4669
2021-03-24,HEROMOTOCO,EQ,3067.45,3068.0,3085.95,3023.0,3033.1,3033.85,3062.26,975533,298734050230000.0,63652,345924,0.3546
2021-03-25,HEROMOTOCO,EQ,3033.85,3033.1,3049.6,2927.1,2945.0,2941.65,2983.64,1075251,320816467890000.0,66800,489263,0.455
2021-03-26,HEROMOTOCO,EQ,2941.65,2972.0,2982.8,2931.0,2945.0,2937.8,2953.47,611318,180551015925000.0,42803,204022,0.3337
2021-03-30,HEROMOTOCO,EQ,2937.8,2934.95,2976.35,2916.6,2975.0,2963.85,2952.18,899494,265546978619999.97,54602,356163,0.396
2021-03-31,HEROMOTOCO,EQ,2963.85,2955.6,2962.0,2902.0,2916.35,2913.6,2921.8,1212659,354314309180000.0,80709,649755,0.5357999999999999
2021-04-01,HEROMOTOCO,EQ,2913.6,2949.0,3004.95,2933.0,2960.0,2956.1,2972.0,1067722,317326868595000.0,63536,286005,0.26789999999999997
2021-04-05,HEROMOTOCO,EQ,2956.1,2961.0,2972.95,2866.6,2888.0,2886.9,2901.69,1152927,334543297760000.0,69606,472121,0.40950000000000003
2021-04-06,HEROMOTOCO,EQ,2886.9,2900.0,2928.0,2868.0,2891.75,2887.95,2891.35,788062,227856056480000.03,55522,272304,0.3455
2021-04-07,HEROMOTOCO,EQ,2887.95,2880.0,2948.9,2875.05,2942.0,2941.6,2929.64,649751,190353330775000.0,58999,262212,0.4036
