Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,HINDALCO,EQ,226.3,227.35,243.95,226.55,242.0,241.15,234.75,12417894,291515841435000.0,121835,3976728,0.32020000000000004
2021-02-02,HINDALCO,EQ,241.15,244.2,257.4,243.9,254.5,255.35,252.61,18251184,461041146905000.0,123738,6866238,0.3762
2021-02-03,HINDALCO,EQ,255.35,254.0,263.4,252.55,257.0,257.25,257.81,15670948,404005377900000.0,105090,5342711,0.34090000000000004
2021-02-04,HINDALCO,EQ,257.25,259.95,267.4,258.95,262.65,261.85,263.9,21296401,562022109455000.0,145683,3605284,0.1693
2021-02-05,HINDALCO,EQ,261.85,264.0,266.0,255.9,262.6,262.05,261.6,12833374,335726227100000.0,86179,2190252,0.17070000000000002
2021-02-08,HINDALCO,EQ,262.05,264.0,280.55,263.55,278.55,278.95,274.29,27556901,755860056350000.0,207524,5990316,0.21739999999999998
2021-02-09,HINDALCO,EQ,278.95,278.55,285.9,275.65,278.95,278.05,281.42,22066741,621010103840000.0,145738,4941512,0.22390000000000002
2021-02-10,HINDALCO,EQ,278.05,281.0,283.35,274.7,279.7,279.4,279.4,16789592,469099397564999.94,132892,2927080,0.1743
2021-02-11,HINDALCO,EQ,279.4,280.8,297.35,279.85,294.8,295.4,290.91,47356292,1377623610150000.0,287892,9042002,0.19090000000000001
2021-02-12,HINDALCO,EQ,295.4,297.0,297.25,286.5,291.0,290.8,291.69,15454237,450782022580000.0,93994,3330938,0.21550000000000002
2021-02-15,HINDALCO,EQ,290.8,292.5,296.05,289.0,291.1,291.4,292.56,8041775,235274117650000.0,71677,1114725,0.1386
2021-02-16,HINDALCO,EQ,291.4,293.55,307.35,293.0,302.0,302.7,302.9,27519511,833564165845000.0,217537,4760939,0.17300000000000001
2021-02-17,HINDALCO,EQ,302.7,302.7,308.5,301.0,304.1,303.9,304.57,18221106,554967946364999.94,129930,5246348,0.2879
2021-02-18,HINDALCO,EQ,303.9,306.05,312.6,305.0,309.6,309.9,309.31,16202053,501143470050000.0,133048,4213943,0.2601
2021-02-19,HINDALCO,EQ,309.9,308.0,313.35,302.25,309.0,308.0,307.04,17410357,534569515080000.0,96804,5724332,0.32880000000000004
2021-02-22,HINDALCO,EQ,308.0,310.0,328.0,310.0,314.6,316.1,320.99,45975603,1475767787665000.0,317856,6482978,0.141
2021-02-23,HINDALCO,EQ,316.1,321.95,338.15,316.65,334.2,333.05,329.02,50677230,1667373671415000.0,329561,8538141,0.1685
2021-02-24,HINDALCO,EQ,333.05,334.2,337.5,328.0,333.0,332.8,333.95,14777374,493492498220000.0,117562,3868810,0.2618
2021-02-25,HINDALCO,EQ,332.8,337.6,354.6,337.0,350.0,350.7,346.94,35967464,1247845387415000.0,240253,7427037,0.2065
2021-02-26,HINDALCO,EQ,350.7,343.0,349.65,334.75,340.95,340.25,341.79,20379210,696531019555000.0,159341,5332647,0.26170000000000004
2021-03-01,HINDALCO,EQ,340.25,342.0,347.0,334.6,345.0,344.1,341.8,14556212,497526123300000.0,129407,3289779,0.226
2021-03-02,HINDALCO,EQ,344.1,344.25,349.3,338.75,344.7,345.25,343.02,12878208,441748470780000.0,116292,3697298,0.2871
2021-03-03,HINDALCO,EQ,345.25,350.7,361.3,350.5,358.75,359.35,357.05,20104887,717844685020000.0,168134,4418654,0.2198
2021-03-04,HINDALCO,EQ,359.35,352.0,357.7,347.0,349.9,349.45,352.14,13623173,479725820820000.0,96719,4186475,0.3073
2021-03-05,HINDALCO,EQ,349.45,345.25,347.6,333.15,339.0,337.85,340.29,15127687,514776849585000.06,136189,5000474,0.3306
2021-03-08,HINDALCO,EQ,337.85,340.05,343.9,334.7,336.75,336.6,338.16,10555735,356953455510000.0,85792,3189065,0.30210000000000004
2021-03-09,HINDALCO,EQ,336.6,339.95,344.4,328.45,333.15,333.25,336.86,13883599,467679186135000.06,91205,4140806,0.2983
2021-03-10,HINDALCO,EQ,333.25,335.8,342.35,330.45,341.0,340.35,336.13,10886045,365907693440000.0,98370,3228251,0.2965
2021-03-12,HINDALCO,EQ,340.35,341.55,345.0,327.45,331.5,330.2,335.48,15035151,504395634225000.0,111302,5980947,0.39780000000000004
2021-03-15,HINDALCO,EQ,330.2,331.9,335.9,325.0,335.65,333.8,329.56,14049438,463019789930000.0,112829,6258372,0.4455
2021-03-16,HINDALCO,EQ,333.8,336.0,336.75,326.3,334.15,333.9,331.58,13294567,440816749260000.06,117817,5591518,0.42060000000000003
2021-03-17,HINDALCO,EQ,333.9,332.95,333.55,325.0,325.95,326.4,329.4,11028678,363281659980000.0,71828,4731799,0.429
2021-03-18,HINDALCO,EQ,326.4,329.35,340.5,329.35,332.75,331.8,335.73,23744146,797154109440000.0,180590,4569429,0.1924
2021-03-19,HINDALCO,EQ,331.8,330.0,339.7,320.6,334.05,335.1,330.85,16753538,554294442225000.0,101910,5153750,0.30760000000000004
