Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,HINDUNILVR,EQ,2263.9,2276.65,2285.0,2226.2,2255.0,2248.6,2253.01,2717591,612275435605000.0,127202,1638783,0.603
2021-02-02,HINDUNILVR,EQ,2248.6,2271.05,2275.0,2205.0,2225.0,2230.45,2233.77,4215607,941668307800000.0,229142,2451371,0.5815
2021-02-03,HINDUNILVR,EQ,2230.45,2231.5,2257.0,2217.6,2233.8,2232.85,2241.56,2353429,527536306620000.0,115017,921247,0.3914
2021-02-04,HINDUNILVR,EQ,2232.85,2239.0,2259.0,2226.2,2247.0,2245.6,2242.04,2908003,651986022695000.0,110128,1634313,0.562
2021-02-05,HINDUNILVR,EQ,2245.6,2245.6,2285.0,2241.0,2267.05,2269.55,2263.84,4036942,913900220210000.0,135087,2371338,0.5874
2021-02-08,HINDUNILVR,EQ,2269.55,2288.0,2288.7,2230.3,2237.0,2236.65,2253.22,2780672,626546632120000.0,155971,1640042,0.5898
2021-02-09,HINDUNILVR,EQ,2236.65,2247.0,2254.7,2210.5,2215.9,2216.25,2232.98,3131481,699253975480000.0,130930,2018283,0.6445000000000001
2021-02-10,HINDUNILVR,EQ,2216.25,2220.0,2241.0,2212.75,2240.0,2235.5,2227.12,2055520,457789038655000.0,108586,1020498,0.4965
2021-02-11,HINDUNILVR,EQ,2235.5,2242.0,2268.0,2234.05,2263.0,2263.0,2256.94,1824480,411774147675000.0,75386,932003,0.5108
2021-02-12,HINDUNILVR,EQ,2263.0,2268.0,2272.25,2232.0,2241.5,2241.55,2249.09,1222094,274860480280000.03,64732,568820,0.4654
2021-02-15,HINDUNILVR,EQ,2241.55,2251.0,2261.75,2213.0,2217.9,2215.2,2238.32,2449407,548254588605000.0,100151,1577722,0.6441
2021-02-16,HINDUNILVR,EQ,2215.2,2227.0,2229.05,2190.05,2197.0,2196.1,2205.05,2396356,528408811035000.06,128657,1463631,0.6108
2021-02-17,HINDUNILVR,EQ,2196.1,2196.0,2201.55,2160.0,2165.0,2163.9,2174.96,2447956,532420206635000.06,116919,1468089,0.5997
2021-02-18,HINDUNILVR,EQ,2163.9,2164.0,2168.55,2143.2,2147.5,2146.85,2156.51,3205806,691334578500000.0,201161,2319377,0.7234999999999999
2021-02-19,HINDUNILVR,EQ,2146.85,2152.9,2194.0,2150.0,2185.0,2181.1,2175.63,3364030,731888637950000.0,141166,1347424,0.40049999999999997
2021-02-22,HINDUNILVR,EQ,2181.1,2205.0,2205.0,2161.6,2166.45,2167.6,2176.78,2678023,582947216810000.0,117761,1684694,0.6291
2021-02-23,HINDUNILVR,EQ,2167.6,2185.0,2192.35,2170.2,2180.0,2179.25,2181.63,2062144,449884000214999.94,105107,1509272,0.7319
2021-02-24,HINDUNILVR,EQ,2179.25,2188.5,2188.5,2155.55,2183.0,2178.85,2171.16,924143,200646510370000.0,58233,571062,0.6179
2021-02-25,HINDUNILVR,EQ,2178.85,2177.0,2185.0,2160.0,2163.45,2163.3,2166.03,2099460,454749972630000.0,130291,1374243,0.6546
2021-02-26,HINDUNILVR,EQ,2163.3,2158.0,2182.4,2120.0,2127.8,2132.05,2144.65,3413194,732009958530000.0,155473,2028615,0.5943
2021-03-01,HINDUNILVR,EQ,2132.05,2135.2,2154.0,2128.0,2152.6,2143.4,2141.3,1229276,263225279580000.03,74315,715403,0.5820000000000001
2021-03-02,HINDUNILVR,EQ,2143.4,2162.0,2183.9,2140.55,2182.0,2177.95,2165.31,2095135,453660856300000.0,104481,1336750,0.638
2021-03-03,HINDUNILVR,EQ,2177.95,2205.0,2205.0,2173.5,2194.4,2193.5,2188.53,2031893,444686152875000.0,103327,1345162,0.662
2021-03-04,HINDUNILVR,EQ,2193.5,2185.0,2203.5,2174.0,2195.05,2196.9,2190.43,2290915,501809654520000.0,85341,1404059,0.6129
2021-03-05,HINDUNILVR,EQ,2196.9,2184.6,2209.95,2175.25,2203.1,2201.1,2196.8,2129837,467881627410000.06,88576,1224211,0.5748
2021-03-08,HINDUNILVR,EQ,2201.1,2210.0,2216.1,2169.0,2170.0,2174.55,2192.68,1440724,315904959955000.0,73807,684774,0.4753
2021-03-09,HINDUNILVR,EQ,2174.55,2176.0,2205.0,2162.05,2197.0,2198.5,2182.54,1711842,373615732100000.0,82788,924884,0.5403
2021-03-10,HINDUNILVR,EQ,2198.5,2210.5,2236.9,2193.2,2226.6,2227.85,2220.78,2696085,598741013960000.0,85058,1547497,0.574
2021-03-12,HINDUNILVR,EQ,2227.85,2236.0,2239.9,2200.0,2206.0,2204.75,2214.35,2038930,451490425985000.06,107915,1361752,0.6679
2021-03-15,HINDUNILVR,EQ,2204.75,2206.1,2217.45,2183.3,2208.7,2210.85,2205.54,1632088,359963209490000.0,110275,956410,0.5860000000000001
2021-03-16,HINDUNILVR,EQ,2210.85,2221.35,2247.5,2214.3,2246.0,2244.05,2232.54,2633605,587963388355000.0,86046,1960819,0.7445
2021-03-17,HINDUNILVR,EQ,2244.05,2254.0,2262.0,2219.25,2223.0,2226.3,2237.77,3703365,828726116310000.0,109036,2867130,0.7742
2021-03-18,HINDUNILVR,EQ,2226.3,2238.0,2249.9,2205.0,2218.0,2215.2,2231.98,2597091,579665582495000.0,92568,1703943,0.6561
2021-03-19,HINDUNILVR,EQ,2215.2,2204.1,2325.25,2191.5,2315.0,2312.05,2278.71,5382214,1226452044410000.0,174424,3540684,0.6578
2021-03-22,HINDUNILVR,EQ,2312.05,2310.1,2356.5,2302.0,2352.0,2353.2,2334.61,2471516,577002990695000.0,118896,1393160,0.5637
2021-03-23,HINDUNILVR,EQ,2353.2,2363.0,2372.95,2333.4,2339.1,2337.3,2355.33,1970612,464143939020000.0,146354,1219523,0.6189
2021-03-24,HINDUNILVR,EQ,2337.3,2337.3,2350.9,2315.55,2319.7,2318.6,2337.43,1762743,412028720940000.0,83351,1065501,0.6045
2021-03-25,HINDUNILVR,EQ,2318.6,2318.6,2322.0,2231.05,2248.95,2237.05,2265.02,2495833,565309923035000.0,118114,1515423,0.6072
2021-03-26,HINDUNILVR,EQ,2237.05,2255.0,2325.0,2248.8,2307.05,2317.9,2300.37,1929236,443796043625000.0,110831,916241,0.47490000000000004
2021-03-30,HINDUNILVR,EQ,2317.9,2325.0,2406.0,2325.0,2393.0,2398.75,2388.17,3327205,794593391425000.0,156830,1970421,0.5922
2021-03-31,HINDUNILVR,EQ,2398.75,2386.0,2438.6,2381.65,2420.0,2431.5,2417.72,2709756,655142595365000.0,138821,1676542,0.6187
2021-04-01,HINDUNILVR,EQ,2431.5,2446.8,2446.8,2392.05,2399.0,2399.1,2417.26,1532653,370482089835000.0,89059,879833,0.5740999999999999
2021-04-05,HINDUNILVR,EQ,2399.1,2400.0,2417.2,2346.5,2375.1,2373.2,2377.34,2545447,605140140740000.0,129980,1826014,0.7173999999999999
2021-04-06,HINDUNILVR,EQ,2373.2,2382.3,2411.0,2377.35,2408.0,2408.3,2400.42,3683538,884204279540000.0,90844,2880067,0.7819
2021-04-07,HINDUNILVR,EQ,2408.3,2417.0,2435.0,2387.35,2399.5,2405.25,2412.73,1713970,413534237990000.0,68739,950532,0.5546
2021-04-08,HINDUNILVR,EQ,2405.25,2406.0,2439.0,2395.6,2410.0,2409.9,2420.75,1814515,439248324725000.0,72630,1169318,0.6444
2021-04-09,HINDUNILVR,EQ,2409.9,2424.0,2483.0,2424.0,2471.35,2476.0,2467.89,2604858,642850714415000.0,123029,1163762,0.44680000000000003
2021-04-12,HINDUNILVR,EQ,2476.0,2441.5,2488.25,2437.6,2460.0,2462.0,2453.26,2261945,554914845095000.0,92405,1433992,0.634
2021-04-13,HINDUNILVR,EQ,2462.0,2470.0,2505.9,2448.8,2467.0,2454.4,2468.56,1811781,447248645595000.0,109529,1009633,0.5573
2021-04-15,HINDUNILVR,EQ,2454.4,2497.0,2497.0,2421.1,2469.9,2460.65,2451.04,3352379,821682924095000.0,104105,2318209,0.6915000000000001
