Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,ICICIBANK,EQ,537.0,552.0,609.45,551.0,608.75,603.8,580.42,69354326,4025474801030000.5,677016,21819254,0.3146
2021-02-02,ICICIBANK,EQ,603.8,613.0,624.0,598.7,618.45,617.35,613.06,42362384,2597071547890000.0,425599,12159902,0.287
2021-02-03,ICICIBANK,EQ,617.35,623.4,627.5,614.0,621.3,622.35,620.98,27155908,1686339991605000.0,297041,11691236,0.4305
2021-02-04,ICICIBANK,EQ,622.35,618.8,631.65,609.0,626.35,628.3,620.28,29982222,1859743449925000.0,325725,12251022,0.4086
2021-02-05,ICICIBANK,EQ,628.3,628.3,635.3,611.0,617.0,614.15,621.31,32015570,1989149655655000.0,393296,11570841,0.3614
2021-02-08,ICICIBANK,EQ,614.15,622.35,633.95,622.35,629.4,629.6,629.35,18230551,1147333232875000.0,207409,7076895,0.3882
2021-02-09,ICICIBANK,EQ,629.6,631.35,643.2,628.6,631.55,633.35,636.01,27155615,1727130327795000.0,289954,13475412,0.4962
2021-02-10,ICICIBANK,EQ,633.35,633.35,638.2,626.4,632.5,632.15,632.79,23967387,1516641844390000.0,245454,11204614,0.4675
2021-02-11,ICICIBANK,EQ,632.15,626.75,633.6,624.1,631.25,630.65,628.85,16072702,1010738210160000.0,265311,7491438,0.4661
2021-02-12,ICICIBANK,EQ,630.65,629.9,649.9,629.4,647.05,647.6,641.59,19049709,1222213366755000.0,185553,6009852,0.3155
2021-02-15,ICICIBANK,EQ,647.6,655.0,676.8,652.0,674.6,673.95,665.53,27155194,1807257405334999.8,321530,9440787,0.34770000000000006
2021-02-16,ICICIBANK,EQ,673.95,673.4,679.4,649.55,658.15,658.35,660.32,24966739,1648606289980000.0,279739,10487577,0.4201
2021-02-17,ICICIBANK,EQ,658.35,654.8,664.95,649.35,654.5,657.35,657.26,21684753,1425246425730000.0,250232,8922984,0.4115
2021-02-18,ICICIBANK,EQ,657.35,650.0,652.4,637.6,644.9,644.65,644.05,27845347,1793390681284999.8,327130,13603206,0.48850000000000005
2021-02-19,ICICIBANK,EQ,644.65,635.5,635.5,619.0,625.4,624.05,627.94,24055811,1510570890795000.0,351586,10486329,0.43590000000000007
2021-02-22,ICICIBANK,EQ,624.05,622.0,629.3,607.3,608.95,609.85,615.13,27092321,1666526572295000.0,257181,15037028,0.555
2021-02-23,ICICIBANK,EQ,609.85,614.75,623.05,609.05,614.05,616.3,615.87,23534585,1449419306705000.0,250608,11621663,0.4938
2021-02-24,ICICIBANK,EQ,616.3,615.1,645.0,615.1,640.0,641.1,627.97,17762047,1115411388265000.0,178082,6728252,0.3788
