Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,44_obs_for_SMA
2021-01-01,INDUSINDBK,EQ,894.95,895.0,904.0,893.05,901.15,900.15,899.82,4632855,416873086745000.0,64207,681808,0.1472,
2021-01-04,INDUSINDBK,EQ,900.15,910.0,914.0,887.45,897.7,897.85,901.93,6991890,630616672240000.0,115454,1232068,0.17620000000000002,
2021-01-05,INDUSINDBK,EQ,897.85,891.7,927.35,883.0,921.8,921.65,908.87,11907501,1082232790715000.0,176324,2248543,0.1888,
2021-01-06,INDUSINDBK,EQ,921.65,924.95,936.75,909.4,918.0,922.35,925.04,9768197,903593174210000.0,158353,1992612,0.204,
2021-01-07,INDUSINDBK,EQ,922.35,935.0,961.65,931.1,952.4,952.05,948.74,12154311,1153128356355000.0,210193,2793607,0.2298,
2021-01-08,INDUSINDBK,EQ,952.05,965.0,976.0,932.1,936.75,939.8,955.87,10838196,1035995376240000.0,160280,3061063,0.2824,
2021-01-11,INDUSINDBK,EQ,939.8,942.9,950.95,926.2,928.9,929.1,934.63,8419415,786904994755000.0,141817,2766434,0.3286,
2021-01-12,INDUSINDBK,EQ,929.1,920.0,941.5,906.55,925.0,927.65,923.61,8805330,813270219090000.0,142400,1379773,0.1567,
2021-01-13,INDUSINDBK,EQ,927.65,932.8,953.5,926.15,942.15,942.75,941.56,9473962,892030669985000.0,139743,1456035,0.1537,
2021-01-14,INDUSINDBK,EQ,942.75,953.0,980.7,951.25,971.05,969.7,971.06,14887258,1445637077505000.0,242517,2807875,0.1886,
2021-01-15,INDUSINDBK,EQ,969.7,974.0,983.0,953.45,967.25,965.9,966.63,9195430,888859266095000.1,162177,1835072,0.1996,
2021-01-18,INDUSINDBK,EQ,965.9,959.0,960.0,924.0,926.0,932.8,937.24,10668611,999908811310000.0,150608,3661410,0.3432,
2021-01-19,INDUSINDBK,EQ,932.8,942.05,952.0,936.25,940.15,939.9,943.67,6309233,595386012220000.0,102367,2192991,0.34759999999999996,
2021-01-20,INDUSINDBK,EQ,939.9,936.9,953.85,928.25,946.85,947.7,943.82,7004445,661094519210000.0,106295,1504559,0.21480000000000002,
2021-01-21,INDUSINDBK,EQ,947.7,959.4,967.0,918.25,929.9,925.85,950.04,8216362,780587967695000.0,147764,2580993,0.3141,
2021-01-22,INDUSINDBK,EQ,925.85,930.0,934.0,890.0,893.0,893.3,913.76,11366492,1038623084820000.1,200383,3147521,0.27690000000000003,
2021-01-25,INDUSINDBK,EQ,893.3,906.0,912.35,839.2,844.0,849.15,872.56,11829328,1032184512254999.9,217151,3633583,0.3072,
2021-01-27,INDUSINDBK,EQ,849.15,848.0,860.8,806.0,815.0,820.15,830.88,15810173,1313638803905000.0,281856,5487109,0.3471,
2021-01-28,INDUSINDBK,EQ,820.15,801.3,828.85,789.0,805.0,802.6,808.52,13789865,1114934942729999.9,242130,3369450,0.2443,
2021-01-29,INDUSINDBK,EQ,802.6,817.1,860.85,815.65,851.9,846.1,841.17,19305853,1623956600735000.0,303704,2482560,0.1286,
2021-02-01,INDUSINDBK,EQ,846.1,859.0,981.4,856.0,974.2,970.6,931.95,38067807,3547712531675000.0,553461,8238936,0.2164,
2021-02-02,INDUSINDBK,EQ,970.6,982.4,999.0,949.3,974.4,975.65,974.04,20556081,2002241791509999.8,322322,3550263,0.1727,
2021-02-03,INDUSINDBK,EQ,975.65,980.0,1080.8,972.2,1046.8,1048.55,1048.01,34995822,3667614224569999.5,623053,3874773,0.1107,
2021-02-04,INDUSINDBK,EQ,1048.55,1034.9,1042.0,1016.0,1031.95,1032.15,1027.56,13666242,1404284810030000.0,265426,2650425,0.19390000000000002,
2021-02-05,INDUSINDBK,EQ,1032.15,1045.0,1085.0,1016.3,1028.0,1025.1,1050.22,19524257,2050485524055000.0,354818,2762320,0.14150000000000001,
2021-02-08,INDUSINDBK,EQ,1025.1,1036.05,1055.0,1028.0,1037.9,1035.1,1042.33,7162284,746543871015000.0,149679,1601145,0.2236,
2021-02-09,INDUSINDBK,EQ,1035.1,1044.0,1051.6,1020.0,1027.6,1025.8,1034.63,7984133,826066238945000.0,134557,1526150,0.1911,
2021-02-10,INDUSINDBK,EQ,1025.8,1035.0,1038.45,1003.6,1027.0,1022.8,1017.51,7815034,795191214115000.0,156341,1390143,0.1779,
2021-02-11,INDUSINDBK,EQ,1022.8,1025.0,1036.0,1015.3,1022.3,1021.9,1023.01,5760021,589256818785000.0,138543,796722,0.1383,
2021-02-12,INDUSINDBK,EQ,1021.9,1023.8,1059.5,1012.0,1025.1,1027.4,1042.58,13959383,1455377299820000.0,258960,2274170,0.1629,
2021-02-15,INDUSINDBK,EQ,1027.4,1044.9,1063.0,1037.7,1059.0,1057.6,1053.29,9121286,960739633000000.0,187726,1925870,0.2111,
