Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,IOC,EQ,93.25,95.8,96.4,93.4,96.15,95.8,94.99,53177517,505111252095000.0,128702,16665717,0.3134
2021-02-02,IOC,EQ,95.8,97.55,99.2,96.75,99.1,98.8,98.45,38641408,380414872165000.0,102193,10448290,0.2704
2021-02-03,IOC,EQ,98.8,100.6,102.4,99.9,102.0,101.85,100.89,58158800,586758547140000.0,140432,20194937,0.3472
2021-02-04,IOC,EQ,101.85,102.8,104.35,102.5,103.8,103.6,103.38,51171418,528992924620000.0,148243,15883167,0.3104
2021-02-05,IOC,EQ,103.6,104.5,104.6,102.05,102.45,102.4,102.88,31422905,323267212005000.0,69926,10751501,0.3422
2021-02-08,IOC,EQ,102.4,104.0,104.4,102.45,104.4,104.1,103.6,37924977,392911971115000.0,92391,14125414,0.3725
2021-02-09,IOC,EQ,104.1,99.8,99.8,97.0,97.95,97.7,98.67,47911877,472725238805000.0,193856,15792998,0.3296
2021-02-10,IOC,EQ,97.7,98.1,98.75,96.1,96.9,96.75,97.07,22672022,220075977455000.03,73456,4837935,0.2134
2021-02-11,IOC,EQ,96.75,96.1,97.5,95.9,96.7,96.5,96.56,19512564,188406093990000.0,52132,4497397,0.2305
2021-02-12,IOC,EQ,96.5,96.55,97.1,94.6,95.3,95.1,95.5,19038734,181823282145000.0,69515,6315928,0.33170000000000005
2021-02-15,IOC,EQ,95.1,95.55,96.1,94.0,94.15,94.15,94.53,14796024,139873695180000.0,68006,5660353,0.3826
2021-02-16,IOC,EQ,94.15,94.15,96.5,94.0,95.8,95.6,95.48,24869144,237456730000000.0,65064,6862241,0.2759
2021-02-17,IOC,EQ,95.6,95.55,95.7,94.65,95.0,95.0,95.05,16459093,156442512855000.0,53664,6983143,0.4243
2021-02-18,IOC,EQ,95.0,95.3,99.85,95.3,98.95,99.0,98.45,54055390,532162676380000.0,151786,15233569,0.2818
2021-02-19,IOC,EQ,99.0,99.2,100.5,96.1,97.5,97.55,98.58,42193351,415952951235000.0,118324,7990038,0.1894
2021-02-22,IOC,EQ,97.55,97.5,98.5,95.1,95.2,95.65,96.79,19487082,188616230410000.0,67565,4028557,0.20670000000000002
2021-02-23,IOC,EQ,95.65,96.4,99.1,96.0,97.9,97.65,97.87,35512683,347567634915000.0,94597,9512033,0.26780000000000004
2021-02-24,IOC,EQ,97.65,98.4,99.9,97.0,98.0,97.95,98.87,19784111,195610397340000.0,68813,5925711,0.2995
2021-02-25,IOC,EQ,97.95,99.4,101.95,98.85,101.45,100.9,100.5,62750445,630657432830000.0,147409,21980307,0.3503
2021-02-26,IOC,EQ,100.9,99.5,101.95,97.2,97.85,98.05,99.76,45723160,456131209010000.06,123862,12180415,0.2664
2021-03-01,IOC,EQ,98.05,101.0,101.5,99.8,100.9,100.7,100.69,30046249,302541931860000.0,104552,6162365,0.20510000000000003
2021-03-02,IOC,EQ,100.7,102.25,104.1,101.75,102.3,102.2,102.83,45720247,470161114314999.94,130480,9442434,0.2065
2021-03-03,IOC,EQ,102.2,103.0,104.0,101.4,102.5,102.6,102.82,30023276,308686582005000.0,137700,10048605,0.3347
2021-03-04,IOC,EQ,102.6,101.5,103.1,101.15,101.5,101.45,101.92,16870409,171949299365000.0,53673,5839720,0.3462
2021-03-05,IOC,EQ,101.45,101.7,102.85,100.85,101.5,101.45,101.89,40145177,409038445690000.0,119077,18403456,0.45840000000000003
2021-03-08,IOC,EQ,101.45,102.25,105.0,102.1,103.7,103.6,103.71,49732782,515788857530000.0,142836,19315092,0.3884
2021-03-09,IOC,EQ,103.6,102.45,102.9,99.2,100.6,100.55,101.02,29925269,302312780515000.0,94006,8693193,0.29050000000000004
2021-03-10,IOC,EQ,100.55,101.9,101.9,98.7,99.0,98.85,99.58,21160710,210708009430000.0,68150,6925917,0.3273
2021-03-12,IOC,EQ,98.85,100.25,102.3,100.2,101.4,101.3,101.48,34987666,355062805410000.0,96751,10556631,0.3017
2021-03-15,IOC,EQ,101.3,101.65,102.7,100.0,101.0,101.05,100.95,21098400,212977885710000.0,75559,6691017,0.3171
2021-03-16,IOC,EQ,101.05,102.1,102.6,99.95,101.15,100.4,100.87,27527510,277659572655000.03,94434,12246015,0.4449
2021-03-17,IOC,EQ,100.4,101.25,101.25,98.0,98.05,98.2,99.09,20922333,207317296950000.0,62012,8531428,0.4078
2021-03-18,IOC,EQ,98.2,98.9,99.5,96.5,97.65,97.25,97.76,21413768,209331824840000.0,74985,6924050,0.3233
2021-03-19,IOC,EQ,97.25,96.95,99.6,95.4,98.9,98.75,98.06,34445364,337778478335000.0,90245,14169952,0.4114
2021-03-22,IOC,EQ,98.75,99.65,99.8,98.25,99.2,99.15,98.82,21252461,210022810770000.0,68362,7713232,0.3629
2021-03-23,IOC,EQ,99.15,97.2,97.5,96.4,96.8,96.75,96.87,22153320,214600048795000.0,85412,5981944,0.27
