Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,JSWSTEEL,EQ,366.85,366.5,384.4,363.65,381.0,380.85,372.21,6141212,228582845030000.03,62448,884581,0.14400000000000002
2021-02-02,JSWSTEEL,EQ,380.85,384.65,391.7,376.7,389.0,389.0,384.76,7450391,286663415210000.0,62118,1398475,0.1877
2021-02-03,JSWSTEEL,EQ,389.0,386.2,398.45,384.7,393.0,392.9,392.88,6063017,238205121440000.0,57075,861362,0.1421
2021-02-04,JSWSTEEL,EQ,392.9,392.9,402.0,390.45,400.9,400.3,398.47,6283280,250368133469999.97,59704,1773999,0.2823
2021-02-05,JSWSTEEL,EQ,400.3,403.0,406.6,389.15,402.85,402.2,400.05,9008833,360401451315000.0,76433,949189,0.1054
2021-02-08,JSWSTEEL,EQ,402.2,404.55,419.25,401.2,416.25,417.65,411.42,9008722,370635217695000.0,83516,1628712,0.1808
2021-02-09,JSWSTEEL,EQ,417.65,417.0,420.0,401.85,408.0,406.45,412.41,7961747,328350967675000.0,78448,1259091,0.15810000000000002
2021-02-10,JSWSTEEL,EQ,406.45,410.0,413.95,400.0,408.6,410.75,407.37,8008124,326229370610000.0,76048,1075432,0.1343
2021-02-11,JSWSTEEL,EQ,410.75,408.2,415.5,404.95,407.8,408.85,409.85,3598146,147469806865000.0,38091,571033,0.1587
2021-02-12,JSWSTEEL,EQ,408.85,407.85,410.9,402.6,403.05,403.8,406.52,4667663,189748167470000.0,39630,1391336,0.2981
2021-02-15,JSWSTEEL,EQ,403.8,405.1,407.85,401.0,402.6,403.7,404.62,4678133,189288938820000.0,41254,1111379,0.23760000000000003
2021-02-16,JSWSTEEL,EQ,403.7,403.7,421.9,403.7,406.3,407.65,413.92,10594928,438547848414999.94,104314,1088682,0.1028
2021-02-17,JSWSTEEL,EQ,407.65,406.35,411.0,401.0,408.05,408.7,406.38,5486323,222953603725000.0,48189,1135997,0.2071
2021-02-18,JSWSTEEL,EQ,408.7,410.0,414.75,406.0,407.15,407.65,408.95,5889983,240869155675000.0,50556,1873460,0.3181
2021-02-19,JSWSTEEL,EQ,407.65,408.1,408.4,390.95,398.3,395.65,400.43,4527644,181299920520000.0,41153,685403,0.1514
2021-02-22,JSWSTEEL,EQ,395.65,396.15,413.85,396.15,407.0,406.1,407.81,9371697,382184100030000.0,89653,1923681,0.2053
2021-02-23,JSWSTEEL,EQ,406.1,410.0,416.2,406.1,415.0,412.6,411.23,8127742,334241065260000.0,83690,2009428,0.2472
2021-02-24,JSWSTEEL,EQ,412.6,415.0,426.6,400.0,407.15,408.1,417.62,10570509,441445699539999.94,104057,1833508,0.17350000000000002
2021-02-25,JSWSTEEL,EQ,408.1,411.0,425.0,410.0,421.0,421.75,419.53,9051315,379733568035000.0,87374,1986615,0.2195
2021-02-26,JSWSTEEL,EQ,421.75,412.05,421.3,392.05,395.55,395.45,404.07,11433748,462001030950000.0,113220,3507256,0.30670000000000003
2021-03-01,JSWSTEEL,EQ,395.45,402.6,408.45,393.35,406.5,405.1,402.64,5834233,234906886994999.97,57040,636842,0.1092
2021-03-02,JSWSTEEL,EQ,405.1,406.8,414.95,401.0,412.25,413.3,408.73,5055665,206640356555000.0,56226,1000941,0.198
2021-03-03,JSWSTEEL,EQ,413.3,415.3,435.0,415.3,426.8,428.15,429.76,11903775,511578201314999.94,126647,2381832,0.20010000000000003
2021-03-04,JSWSTEEL,EQ,428.15,415.1,421.4,411.05,415.5,414.1,415.64,8655068,359736440750000.0,101812,1997305,0.23079999999999998
2021-03-05,JSWSTEEL,EQ,414.1,414.1,414.1,402.5,408.0,406.4,407.85,7045618,287358314995000.0,58350,1970040,0.2796
2021-03-08,JSWSTEEL,EQ,406.4,411.95,415.5,406.5,407.65,407.85,411.19,4176709,171741693365000.0,49276,651601,0.156
2021-03-09,JSWSTEEL,EQ,407.85,412.0,414.75,396.8,401.5,401.6,405.84,5477847,222311036655000.03,48681,1302741,0.2378
2021-03-10,JSWSTEEL,EQ,401.6,406.55,415.3,403.5,413.8,414.0,409.84,6536253,267879434910000.0,57528,1396348,0.2136
2021-03-12,JSWSTEEL,EQ,414.0,418.15,428.45,414.0,417.75,418.75,422.19,13448994,567800644690000.0,129908,1971105,0.1466
2021-03-15,JSWSTEEL,EQ,418.75,422.9,431.75,414.9,428.95,429.65,423.41,10146579,429612564430000.0,93657,1760163,0.17350000000000002
2021-03-16,JSWSTEEL,EQ,429.65,433.95,433.95,419.35,427.15,425.95,425.06,8103798,344459145200000.0,78346,1331497,0.1643
2021-03-17,JSWSTEEL,EQ,425.95,425.95,425.95,417.5,420.7,422.5,421.88,4738590,199910401970000.0,41735,1283599,0.27090000000000003
