Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,44_obs_for_SMA
2021-01-01,KOTAKBANK,EQ,1995.6,1996.9,2007.95,1990.7,1993.2,1994.05,1998.31,1106099,221033009135000.0,34245,286907,0.2594,
2021-01-04,KOTAKBANK,EQ,1994.05,2004.0,2005.95,1955.0,1970.0,1965.55,1970.29,3141429,618952379730000.0,123364,1413334,0.4499,
2021-01-05,KOTAKBANK,EQ,1965.55,1959.5,1964.4,1935.0,1960.15,1959.75,1949.97,3263230,636320806905000.0,117099,1403507,0.4301,
2021-01-06,KOTAKBANK,EQ,1959.75,1973.9,1979.0,1948.4,1969.95,1970.4,1966.12,3452515,678805469995000.0,105749,1664533,0.48210000000000003,
2021-01-07,KOTAKBANK,EQ,1970.4,1984.0,1984.0,1947.5,1953.55,1952.4,1959.76,3419317,670104487240000.0,84251,1604889,0.4694,
2021-01-08,KOTAKBANK,EQ,1952.4,1972.0,1976.0,1946.25,1969.9,1970.7,1962.11,3262897,640216506000000.0,82858,1733152,0.5312,
2021-01-11,KOTAKBANK,EQ,1970.7,1960.0,1966.9,1935.4,1939.5,1938.15,1950.73,2995521,584344649775000.0,85280,1596797,0.5331,
2021-01-12,KOTAKBANK,EQ,1938.15,1929.8,1930.1,1895.85,1906.8,1903.45,1907.07,6035580,1151028957320000.0,209095,4104074,0.68,
2021-01-13,KOTAKBANK,EQ,1903.45,1911.0,1911.0,1877.0,1880.0,1882.1,1885.87,5583130,1052907264070000.1,212013,3885206,0.6959000000000001,
2021-01-14,KOTAKBANK,EQ,1882.1,1892.0,1905.0,1871.05,1894.25,1892.65,1894.8,4803638,910195537375000.0,111548,3028209,0.6304,
2021-01-15,KOTAKBANK,EQ,1892.65,1894.2,1904.0,1854.05,1868.0,1863.9,1868.24,2715164,507256748320000.0,106977,1218291,0.4487,
2021-01-18,KOTAKBANK,EQ,1863.9,1870.5,1872.25,1838.85,1841.1,1846.95,1848.3,5004628,925006167665000.0,107986,1542649,0.30820000000000003,
2021-01-19,KOTAKBANK,EQ,1846.95,1856.1,1892.0,1845.25,1888.8,1887.0,1871.0,4805514,899110069475000.0,115766,3374148,0.7021,
2021-01-20,KOTAKBANK,EQ,1887.0,1890.0,1890.0,1869.45,1880.9,1883.6,1878.33,3041448,571284445400000.0,122006,1586357,0.5216,
2021-01-21,KOTAKBANK,EQ,1883.6,1900.0,1904.9,1845.75,1863.9,1857.8,1888.05,5668862,1070309820345000.1,118538,3693211,0.6515000000000001,
2021-01-22,KOTAKBANK,EQ,1857.8,1850.0,1875.0,1824.5,1829.3,1828.0,1838.13,4298175,790060521530000.0,99962,2076355,0.48310000000000003,
2021-01-25,KOTAKBANK,EQ,1828.0,1845.0,1867.4,1775.0,1792.95,1794.4,1828.52,6610138,1208680229645000.0,249406,2282759,0.3453,
2021-01-27,KOTAKBANK,EQ,1794.4,1798.0,1823.45,1746.35,1767.0,1764.7,1784.49,7892319,1408372797485000.0,321252,4855035,0.6152000000000001,
2021-01-28,KOTAKBANK,EQ,1764.7,1731.0,1764.45,1701.0,1727.0,1722.85,1717.75,6035924,1036821756300000.0,224205,3009490,0.4986,
2021-01-29,KOTAKBANK,EQ,1722.85,1749.85,1749.85,1704.0,1710.55,1712.95,1723.6,5140687,886051209400000.0,164851,3137454,0.6103000000000001,
2021-02-01,KOTAKBANK,EQ,1712.95,1730.0,1809.8,1696.05,1807.95,1801.5,1753.04,4829210,846579354380000.0,185522,2134845,0.4421,
2021-02-02,KOTAKBANK,EQ,1801.5,1830.0,1879.1,1800.05,1865.0,1861.3,1852.5,5871337,1087662893879999.9,201319,3235423,0.5511,
2021-02-03,KOTAKBANK,EQ,1861.3,1870.0,1883.15,1820.0,1854.0,1852.2,1856.1,4289395,796155769620000.0,141816,1679909,0.39159999999999995,
2021-02-04,KOTAKBANK,EQ,1852.2,1839.0,1915.0,1831.0,1912.0,1910.4,1892.46,9641674,1824644490990000.2,189884,4352275,0.4514,
2021-02-05,KOTAKBANK,EQ,1910.4,1915.0,1998.5,1913.15,1990.0,1982.7,1975.93,16268336,3214507458845000.0,233945,6485686,0.3987,
2021-02-08,KOTAKBANK,EQ,1982.7,2000.0,2030.0,1951.5,1955.1,1957.15,1985.12,4021475,798311044235000.0,137760,1205107,0.2997,
2021-02-09,KOTAKBANK,EQ,1957.15,1960.0,1975.0,1937.85,1950.0,1949.15,1957.42,2230923,436685040435000.06,87454,959578,0.4301,
2021-02-10,KOTAKBANK,EQ,1949.15,1950.0,1962.9,1937.0,1955.0,1952.05,1945.72,2860941,556658157660000.06,97632,1498323,0.5236999999999999,
2021-02-11,KOTAKBANK,EQ,1952.05,1949.2,1984.75,1941.25,1963.0,1961.0,1964.38,2246777,441352626170000.0,104862,767820,0.3417,
2021-02-12,KOTAKBANK,EQ,1961.0,1960.0,1975.0,1946.0,1950.5,1951.05,1956.23,1690753,330749993755000.0,68300,672231,0.3976,
2021-02-15,KOTAKBANK,EQ,1951.05,1960.0,1999.0,1957.0,1990.15,1985.95,1985.35,2930435,581794618150000.0,146156,1398623,0.4773,
2021-02-16,KOTAKBANK,EQ,1985.95,2000.0,2049.0,1998.0,2023.9,2019.65,2028.69,5480183,1111760914350000.0,154047,2171263,0.3962,
2021-02-17,KOTAKBANK,EQ,2019.65,2015.1,2023.5,1969.15,1988.95,1989.45,2002.36,4395224,880080635925000.0,129674,2241551,0.51,
2021-02-18,KOTAKBANK,EQ,1989.45,1979.15,1984.85,1938.1,1948.0,1945.45,1952.63,3538208,690879726390000.0,98738,2009851,0.568,
2021-02-19,KOTAKBANK,EQ,1945.45,1942.25,1969.85,1925.1,1943.25,1938.75,1946.55,2735683,532514083214999.94,81593,1165692,0.4261,
2021-02-22,KOTAKBANK,EQ,1938.75,1938.75,1962.05,1921.6,1939.25,1949.6,1946.93,3853276,750207265615000.0,136185,2273518,0.59,
2021-02-23,KOTAKBANK,EQ,1949.6,1965.0,1965.0,1866.0,1874.0,1872.95,1896.39,5572402,1056743214720000.1,171203,2764191,0.4961,
2021-02-24,KOTAKBANK,EQ,1872.95,1889.1,1924.0,1852.05,1919.95,1911.2,1886.47,3821416,720899566980000.0,99089,1978628,0.5178,
2021-02-25,KOTAKBANK,EQ,1911.2,1927.0,1965.2,1887.55,1892.2,1895.5,1919.22,5622516,1079082182590000.0,141965,3013320,0.5359,
2021-02-26,KOTAKBANK,EQ,1895.5,1869.0,1869.0,1773.0,1791.4,1780.35,1803.22,8400096,1514725968450000.0,266458,4815191,0.5732,
2021-03-01,KOTAKBANK,EQ,1780.35,1811.0,1854.9,1801.4,1846.4,1845.4,1831.73,3260044,597151770630000.0,115805,1509783,0.4631,
2021-03-02,KOTAKBANK,EQ,1845.4,1845.0,1868.4,1820.1,1851.2,1844.65,1840.17,3837149,706101610055000.0,105084,2253657,0.5872999999999999,
2021-03-03,KOTAKBANK,EQ,1844.65,1855.0,1908.75,1851.2,1894.9,1899.5,1886.15,2875618,542385435410000.06,111862,1598901,0.556,
2021-03-04,KOTAKBANK,EQ,1899.5,1863.9,1910.4,1850.0,1897.0,1897.7,1888.92,4022514,759820179745000.0,124290,2293432,0.5700999999999999,1898.771590909091
2021-03-05,KOTAKBANK,EQ,1897.7,1875.5,1928.3,1868.0,1920.05,1922.5,1903.44,5407986,1029378302600000.0,170804,2863127,0.5294,1897.1454545454544
2021-03-08,KOTAKBANK,EQ,1922.5,1920.0,1947.85,1893.3,1914.0,1915.85,1924.13,4698010,903960050729999.9,152331,2797333,0.5954,1896.015909090909
2021-03-09,KOTAKBANK,EQ,1915.85,1917.8,1991.0,1917.8,1974.95,1978.95,1956.59,7918345,1549293823765000.0,231191,3762479,0.47520000000000007,1896.4522727272727
2021-03-10,KOTAKBANK,EQ,1978.95,1983.25,1999.35,1957.2,1960.9,1963.95,1975.44,2761470,545512136664999.94,99853,982382,0.3557,1896.3056818181817
2021-03-12,KOTAKBANK,EQ,1963.95,1979.0,1980.0,1912.0,1930.8,1935.15,1946.5,2620265,510033680445000.0,82972,1297346,0.4951,1895.9136363636362
2021-03-15,KOTAKBANK,EQ,1935.15,1944.0,1944.0,1893.1,1917.0,1918.65,1908.27,2643554,504461335080000.0,94957,1293979,0.48950000000000005,1894.7306818181817
2021-03-16,KOTAKBANK,EQ,1918.65,1925.1,1941.7,1900.0,1904.0,1903.2,1919.53,2769224,531560410400000.0,107140,1345123,0.4857,1893.9363636363635
2021-03-17,KOTAKBANK,EQ,1903.2,1903.2,1917.7,1861.0,1867.4,1868.35,1886.81,2694994,508495280455000.0,93490,1272815,0.4723,1893.1386363636366
