Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,LT,EQ,1334.7,1345.75,1462.0,1337.2,1458.75,1448.85,1405.46,11317043,1590561618325000.0,324331,4762242,0.4208
2021-02-02,LT,EQ,1448.85,1474.0,1593.0,1474.0,1523.05,1520.2,1533.27,14349665,2200186362175000.0,411313,3804965,0.2652
2021-02-03,LT,EQ,1520.2,1530.0,1558.0,1505.0,1527.0,1528.55,1538.53,6197782,953547352579999.9,206869,2606705,0.42060000000000003
2021-02-04,LT,EQ,1528.55,1525.0,1550.0,1510.0,1526.0,1529.8,1535.39,3957579,607642570415000.0,135568,1706378,0.43119999999999997
2021-02-05,LT,EQ,1529.8,1534.4,1547.0,1511.1,1515.7,1516.5,1528.85,3270494,500008276200000.0,133202,938028,0.2868
2021-02-08,LT,EQ,1516.5,1521.15,1570.0,1520.0,1553.0,1551.8,1552.37,5223019,810804277020000.0,163234,1714281,0.3282
2021-02-09,LT,EQ,1551.8,1557.0,1574.5,1545.0,1565.0,1566.45,1561.75,3825206,597403034165000.0,135694,1854139,0.4847
2021-02-10,LT,EQ,1566.45,1560.0,1564.0,1528.7,1552.0,1552.85,1547.99,2578777,399193111535000.0,98508,926789,0.3594
2021-02-11,LT,EQ,1552.85,1549.4,1559.9,1526.55,1533.0,1530.5,1537.02,2720190,418098298310000.0,88704,1131077,0.4158
2021-02-12,LT,EQ,1530.5,1535.0,1544.0,1516.1,1521.0,1521.35,1529.84,1867284,285664278135000.0,69363,488244,0.2615
2021-02-15,LT,EQ,1521.35,1527.0,1544.0,1521.35,1534.15,1537.65,1534.34,1917477,294205818585000.0,84161,805294,0.42
2021-02-16,LT,EQ,1537.65,1540.0,1574.0,1539.0,1550.0,1549.45,1557.37,3838556,597806834780000.0,169357,1798704,0.4686
2021-02-17,LT,EQ,1549.45,1544.0,1567.0,1533.0,1549.95,1548.35,1553.55,2340184,363558225950000.0,74685,909165,0.3885
2021-02-18,LT,EQ,1548.35,1542.2,1551.2,1515.15,1523.8,1524.6,1531.59,2446843,374755143170000.0,107942,1148092,0.4692
2021-02-19,LT,EQ,1524.6,1523.85,1547.0,1498.85,1512.0,1508.8,1526.02,3044240,464556009525000.0,94865,1177662,0.38680000000000003
2021-02-22,LT,EQ,1508.8,1510.9,1511.95,1447.1,1453.7,1452.2,1464.4,6168108,903257900820000.1,260434,3751191,0.6082
2021-02-23,LT,EQ,1452.2,1462.0,1498.0,1460.0,1489.95,1486.3,1485.01,3733776,554469161645000.0,127344,1342350,0.35950000000000004
2021-02-24,LT,EQ,1486.3,1486.7,1532.0,1486.7,1523.0,1526.6,1510.35,2380414,359526340765000.0,71210,1051252,0.4416
2021-02-25,LT,EQ,1526.6,1534.0,1540.6,1502.0,1510.0,1506.45,1517.25,3168105,480681405800000.0,121478,1701901,0.5372
2021-02-26,LT,EQ,1506.45,1482.0,1493.5,1435.15,1441.5,1442.5,1457.21,5579058,812983414795000.0,190911,2819429,0.5054
2021-03-01,LT,EQ,1442.5,1456.0,1486.0,1438.2,1473.5,1472.85,1466.78,2494481,365884936560000.0,103263,925769,0.3711
2021-03-02,LT,EQ,1472.85,1479.3,1489.65,1458.15,1486.05,1485.65,1479.22,2089473,309079409635000.0,89535,1065183,0.5098
2021-03-03,LT,EQ,1485.65,1493.5,1510.0,1481.35,1498.0,1496.9,1493.49,2184001,326178051565000.0,79587,889595,0.4073
2021-03-04,LT,EQ,1496.9,1473.0,1494.35,1458.0,1464.0,1462.6,1467.29,3530366,518005758005000.0,127957,1652283,0.46799999999999997
2021-03-05,LT,EQ,1462.6,1453.6,1477.2,1439.1,1463.15,1463.55,1461.13,3306902,483182300080000.0,129476,1292332,0.3908
