Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,44_obs_for_SMA
2021-01-01,M&M,EQ,720.6,725.0,744.75,723.0,731.8,732.45,737.58,9543128,703885141655000.0,141701,1418987,0.1487,
2021-01-04,M&M,EQ,732.45,735.0,751.0,727.25,749.0,749.1,739.26,4547027,336143028935000.0,75632,1493934,0.3286,
2021-01-05,M&M,EQ,749.1,748.0,748.0,730.0,739.0,740.1,736.81,3551554,261681759880000.03,89301,938403,0.26420000000000005,
2021-01-06,M&M,EQ,740.1,741.0,746.45,730.45,733.0,736.1,739.57,3601608,266364562694999.97,86314,984102,0.2732,
2021-01-07,M&M,EQ,736.1,743.0,755.0,740.1,744.0,744.4,748.05,4063641,303979827985000.0,82407,1195859,0.2943,
2021-01-08,M&M,EQ,744.4,750.0,772.8,745.0,767.0,770.5,763.38,5998381,457904601605000.0,124731,2250194,0.3751,
2021-01-11,M&M,EQ,770.5,773.05,791.4,763.2,788.3,789.1,780.01,6643610,518206981505000.0,110656,1754302,0.2641,
2021-01-12,M&M,EQ,789.1,789.95,796.75,777.4,779.3,779.85,785.66,5532160,434639414020000.0,94202,1634132,0.2954,
2021-01-13,M&M,EQ,779.85,784.6,837.5,782.25,824.0,828.35,820.15,19610461,1608351288840000.0,267325,4445386,0.2267,
2021-01-14,M&M,EQ,828.35,828.9,843.85,827.35,829.4,829.9,833.55,8576718,714909009770000.0,123976,2790626,0.3254,
2021-01-15,M&M,EQ,829.9,828.0,838.0,815.35,820.3,819.65,824.33,4996951,411912036735000.0,102732,2237085,0.44770000000000004,
2021-01-18,M&M,EQ,819.65,817.9,820.8,797.15,800.05,809.0,810.89,3955069,320712492705000.0,76032,1338336,0.33840000000000003,
2021-01-19,M&M,EQ,809.0,810.0,819.6,801.55,808.6,808.05,809.88,3991167,323238079405000.0,73501,1151509,0.28850000000000003,
2021-01-20,M&M,EQ,808.05,807.0,831.95,802.0,822.0,824.5,819.32,4502291,368883667625000.0,98933,1165867,0.2589,
2021-01-21,M&M,EQ,824.5,823.0,835.0,800.3,811.95,808.25,824.06,4455107,367126676560000.0,103684,1357645,0.30469999999999997,
2021-01-22,M&M,EQ,808.25,808.0,826.7,795.0,798.0,798.4,810.65,5588252,453014088330000.0,104048,1799399,0.322,
2021-01-25,M&M,EQ,798.4,802.1,812.95,784.25,795.95,794.55,795.27,3353172,266667950465000.0,80262,1031694,0.30770000000000003,
2021-01-27,M&M,EQ,794.55,797.0,817.0,763.4,765.15,769.95,794.22,6585102,523001089280000.0,143137,1644920,0.24980000000000002,
2021-01-28,M&M,EQ,769.95,758.0,778.1,756.1,764.85,765.0,765.25,4622634,353749242835000.0,137863,1924067,0.41619999999999996,
2021-01-29,M&M,EQ,765.0,772.55,799.95,746.0,753.0,749.6,773.41,8761073,677591094730000.0,141358,2874263,0.3281,
2021-02-01,M&M,EQ,749.6,753.0,808.85,741.55,795.9,795.15,783.02,6592083,516170651385000.06,117679,1732811,0.2629,
2021-02-02,M&M,EQ,795.15,810.0,837.4,802.6,820.0,816.85,821.75,5334431,438356594120000.0,109265,1486275,0.2786,
2021-02-03,M&M,EQ,816.85,821.0,858.9,818.0,834.05,833.2,844.86,8802838,743717660975000.0,158795,2427971,0.2758,
2021-02-04,M&M,EQ,833.2,835.0,893.55,835.0,868.0,866.5,873.14,14706560,1284084712730000.0,275270,2015081,0.13699999999999998,
2021-02-05,M&M,EQ,866.5,879.9,881.7,841.2,862.85,865.5,860.91,15668083,1348886131580000.0,276241,2269089,0.1448,
2021-02-08,M&M,EQ,865.5,891.0,952.05,891.0,929.5,928.4,929.21,21179625,1968030988030000.0,384902,3298612,0.1557,
2021-02-09,M&M,EQ,928.4,929.5,939.0,885.2,899.05,895.0,907.2,9210613,835587810060000.0,201549,2353198,0.2555,
2021-02-10,M&M,EQ,895.0,899.0,917.0,886.1,915.0,914.15,904.39,6465767,584754603105000.0,135337,1113826,0.1723,
2021-02-11,M&M,EQ,914.15,916.45,920.05,902.35,918.95,914.2,911.04,3640848,331696269135000.0,81340,1048724,0.28800000000000003,
2021-02-12,M&M,EQ,914.2,916.0,918.55,905.0,906.85,908.55,910.92,2484145,226285062555000.03,55757,581042,0.2339,
2021-02-15,M&M,EQ,908.55,910.9,920.0,898.25,909.8,911.85,913.43,4178613,381685719515000.0,101506,840608,0.20120000000000002,
2021-02-16,M&M,EQ,911.85,915.0,921.75,902.1,912.3,912.2,913.39,4223635,385783871300000.0,89139,1151495,0.2726,
2021-02-17,M&M,EQ,912.2,905.0,920.15,904.6,913.8,914.95,913.91,3903522,356748565040000.0,75200,1251933,0.3207,
2021-02-18,M&M,EQ,914.95,914.95,914.95,891.65,895.0,894.45,899.71,4616205,415326091090000.0,83021,2319855,0.5025000000000001,
