Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,MARUTI,EQ,7206.65,7265.2,7475.0,7152.0,7430.0,7399.8,7315.28,1611478,1178841080405000.0,179773,290905,0.18050000000000002
2021-02-02,MARUTI,EQ,7399.8,7534.9,7769.75,7490.15,7661.0,7654.7,7651.32,1700845,1301370195610000.0,128518,450748,0.265
2021-02-03,MARUTI,EQ,7654.7,7680.0,7716.45,7475.85,7585.0,7589.2,7579.5,1491567,1130533585530000.0,123946,350427,0.2349
2021-02-04,MARUTI,EQ,7589.2,7600.0,7765.0,7529.05,7635.25,7640.0,7673.2,1198036,919277464354999.9,100546,286052,0.23879999999999998
2021-02-05,MARUTI,EQ,7640.0,7680.0,7736.0,7461.0,7501.0,7494.15,7541.65,1128089,850765625140000.0,116860,328854,0.2915
2021-02-08,MARUTI,EQ,7494.15,7515.0,7638.0,7474.5,7572.9,7574.6,7574.24,912372,691052142350000.0,84897,174287,0.19100000000000003
2021-02-09,MARUTI,EQ,7574.6,7581.0,7680.0,7574.0,7630.0,7627.05,7637.82,925127,706595794325000.0,83533,297189,0.3212
2021-02-10,MARUTI,EQ,7627.05,7605.2,7674.9,7506.05,7629.0,7621.7,7589.42,1015600,770781431655000.0,97257,233643,0.23010000000000003
2021-02-11,MARUTI,EQ,7621.7,7600.0,7744.0,7567.65,7659.0,7667.35,7669.83,818869,628058500150000.0,67413,178948,0.21850000000000003
2021-02-12,MARUTI,EQ,7667.35,7620.1,7675.0,7525.9,7570.0,7568.5,7603.77,756833,575478309910000.0,64775,194262,0.25670000000000004
2021-02-15,MARUTI,EQ,7568.5,7600.0,7649.1,7580.0,7600.0,7596.65,7611.43,470093,357808013305000.0,48456,78160,0.1663
2021-02-16,MARUTI,EQ,7596.65,7639.0,7799.0,7625.25,7690.0,7697.05,7717.76,1321126,1019613836204999.9,110476,287777,0.21780000000000002
2021-02-17,MARUTI,EQ,7697.05,7679.95,7691.5,7471.3,7501.0,7503.2,7564.37,1023548,774249827850000.0,87935,383157,0.3743
2021-02-18,MARUTI,EQ,7503.2,7574.85,7579.05,7460.0,7495.0,7497.55,7516.97,821462,617490651590000.0,79177,200788,0.2444
2021-02-19,MARUTI,EQ,7497.55,7448.0,7486.4,7285.0,7332.5,7323.0,7382.49,1013887,748500822410000.0,105979,275316,0.2715
2021-02-22,MARUTI,EQ,7323.0,7323.0,7325.0,7056.0,7060.0,7086.45,7151.55,1502068,1074210773665000.0,174597,606694,0.40390000000000004
2021-02-23,MARUTI,EQ,7086.45,7118.8,7122.35,6938.0,6975.0,6970.5,7004.31,1589884,1113603598854999.9,155033,688121,0.4328
2021-02-24,MARUTI,EQ,6970.5,6905.0,7036.0,6877.5,6955.0,6952.95,6969.92,1225254,853992115900000.0,117844,540301,0.441
2021-02-25,MARUTI,EQ,6952.95,7065.0,7069.0,6915.0,6926.05,6930.35,6955.9,1740066,1210373187615000.0,135168,904726,0.5199
2021-02-26,MARUTI,EQ,6930.35,6900.0,7075.0,6822.2,6851.0,6866.15,6937.04,2687534,1864353704230000.0,260516,911816,0.3393
2021-03-01,MARUTI,EQ,6866.15,6977.0,7032.85,6917.05,7024.9,7015.0,6987.36,1417600,990527880295000.1,133457,637032,0.44939999999999997
2021-03-02,MARUTI,EQ,7015.0,7060.0,7235.0,7030.0,7223.0,7214.1,7138.08,1395296,995973163385000.0,115867,644925,0.4622
2021-03-03,MARUTI,EQ,7214.1,7245.6,7262.3,7101.2,7129.25,7124.7,7132.69,796258,567945877170000.0,88189,291539,0.3661
2021-03-04,MARUTI,EQ,7124.7,7080.0,7175.2,7011.0,7123.0,7131.6,7108.26,906310,644228887390000.0,98839,278461,0.3072
2021-03-05,MARUTI,EQ,7131.6,7130.0,7315.0,7070.0,7251.0,7249.0,7236.86,1821165,1317950756865000.0,136188,802724,0.44079999999999997
2021-03-08,MARUTI,EQ,7249.0,7264.9,7338.8,7216.0,7248.1,7259.5,7277.95,977572,711472204630000.0,95403,372383,0.3809
2021-03-09,MARUTI,EQ,7259.5,7329.4,7329.4,7256.0,7300.0,7301.55,7291.37,678485,494708843564999.94,69419,328281,0.48380000000000006
2021-03-10,MARUTI,EQ,7301.55,7320.0,7387.0,7251.0,7260.65,7272.1,7318.8,659270,482506245389999.94,99069,234347,0.3555
2021-03-12,MARUTI,EQ,7272.1,7300.0,7313.0,7061.4,7100.75,7096.2,7151.12,946720,677011049120000.0,114353,341569,0.3608
2021-03-15,MARUTI,EQ,7096.2,7145.0,7162.95,7011.0,7076.0,7089.3,7071.09,700309,495194714639999.94,87619,223307,0.3189
2021-03-16,MARUTI,EQ,7089.3,7100.0,7200.0,7100.0,7155.0,7150.3,7156.16,796357,569885949245000.0,89199,333378,0.4186
2021-03-17,MARUTI,EQ,7150.3,7160.0,7169.95,7043.5,7075.0,7064.65,7098.99,688581,488822821620000.0,66862,357004,0.5185000000000001
2021-03-18,MARUTI,EQ,7064.65,7125.0,7242.0,7060.0,7108.0,7113.75,7159.91,984545,704925672840000.0,111880,327984,0.3331
2021-03-19,MARUTI,EQ,7113.75,7059.95,7149.95,6905.5,7114.9,7113.55,7022.41,838756,589008995125000.0,103254,220746,0.2632
2021-03-22,MARUTI,EQ,7113.55,7104.0,7142.5,7050.2,7106.0,7101.25,7088.01,533767,378334755115000.0,72385,174907,0.32770000000000005
2021-03-23,MARUTI,EQ,7101.25,7138.0,7225.0,7130.0,7172.0,7186.25,7189.58,757590,544675222335000.06,85127,253656,0.3348
2021-03-24,MARUTI,EQ,7186.25,7136.0,7158.4,7049.95,7060.0,7066.2,7093.04,457147,324256277415000.0,63062,137921,0.3017
2021-03-25,MARUTI,EQ,7066.2,7050.0,7059.0,6755.25,6792.0,6786.85,6842.51,1338767,916052440675000.0,181801,511237,0.38189999999999996
2021-03-26,MARUTI,EQ,6786.85,6889.0,6898.95,6771.0,6789.0,6784.45,6808.28,911299,620438298100000.0,108503,396139,0.4347
