Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,NESTLEIND,EQ,17060.0,17200.0,17275.7,17000.0,17139.0,17087.7,17109.82,84406,144417114090000.0,23144,38293,0.4537
2021-02-02,NESTLEIND,EQ,17087.7,17150.05,17350.0,17054.5,17185.0,17190.3,17213.21,130298,224284663990000.0,22001,75065,0.5761000000000001
2021-02-03,NESTLEIND,EQ,17190.3,17200.05,17289.0,17051.0,17121.0,17166.4,17176.91,112325,192939679435000.0,20785,54510,0.4853
2021-02-04,NESTLEIND,EQ,17166.4,17199.9,17226.95,17052.45,17078.0,17074.0,17108.27,92100,157567197660000.0,25269,46645,0.5065
2021-02-05,NESTLEIND,EQ,17074.0,17131.05,17167.2,17003.0,17110.0,17115.75,17073.4,98097,167484975345000.0,20251,53189,0.5422
2021-02-08,NESTLEIND,EQ,17115.75,17180.0,17284.9,17101.15,17192.0,17218.2,17208.48,121607,209267197980000.0,27272,64563,0.5309
2021-02-09,NESTLEIND,EQ,17218.2,17211.0,17510.0,17150.0,17336.2,17318.95,17381.32,121012,210334815035000.0,26632,49255,0.40700000000000003
2021-02-10,NESTLEIND,EQ,17318.95,17340.2,17436.8,17086.5,17215.0,17177.35,17222.24,116576,200769973560000.0,31207,57516,0.49340000000000006
2021-02-11,NESTLEIND,EQ,17177.35,17189.9,17447.45,17150.0,17396.1,17412.25,17344.0,65366,113370801640000.02,14706,26401,0.40390000000000004
2021-02-12,NESTLEIND,EQ,17412.25,17410.1,17519.0,17240.0,17240.0,17294.3,17364.0,54528,94682399765000.0,11361,19973,0.3663
2021-02-15,NESTLEIND,EQ,17294.3,17349.0,17506.75,17258.05,17500.0,17479.85,17447.12,110119,192125893655000.0,22833,69077,0.6273
2021-02-16,NESTLEIND,EQ,17479.85,17555.0,17646.0,17139.1,17200.0,17217.25,17304.64,229774,397615543130000.0,41851,99079,0.43119999999999997
2021-02-17,NESTLEIND,EQ,17217.25,16900.0,16900.0,16350.0,16700.0,16741.2,16637.7,599343,997168825210000.0,97399,235546,0.39299999999999996
2021-02-18,NESTLEIND,EQ,16741.2,16756.0,16900.0,16300.0,16430.0,16364.7,16477.73,251066,413699690615000.0,46881,131421,0.5235000000000001
2021-02-19,NESTLEIND,EQ,16364.7,16430.0,16464.7,16212.95,16430.05,16376.4,16345.82,130275,212945163435000.0,29439,52117,0.4001
