Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,ONGC,EQ,88.3,89.0,91.2,88.45,90.95,90.85,89.9,24228098,217806122544999.97,101167,8871835,0.36619999999999997
2021-02-02,ONGC,EQ,90.85,92.5,93.95,91.2,93.3,92.85,92.53,22141489,204866915800000.0,99290,6315272,0.2852
2021-02-03,ONGC,EQ,92.85,94.6,95.3,93.0,93.55,93.35,93.69,25912911,242767868430000.03,93356,7064855,0.2726
2021-02-04,ONGC,EQ,93.35,94.25,98.6,94.0,97.8,97.65,97.33,49670027,483442111314999.94,191374,11908608,0.2398
2021-02-05,ONGC,EQ,97.65,98.95,99.95,96.8,97.8,97.65,98.33,30514219,300047950085000.0,112662,9313715,0.3052
2021-02-08,ONGC,EQ,97.65,99.5,100.8,99.1,99.5,99.65,99.94,29096831,290804597515000.0,155984,12204252,0.4194
2021-02-09,ONGC,EQ,99.65,99.8,103.35,99.8,101.15,101.0,102.08,39638657,404637230150000.0,155055,13342238,0.33659999999999995
2021-02-10,ONGC,EQ,101.0,102.0,102.5,98.6,100.1,100.0,100.38,21467230,215490840340000.0,86975,5999403,0.2795
2021-02-11,ONGC,EQ,100.0,100.0,100.35,98.9,99.4,99.45,99.46,11287104,112261990945000.0,49472,3605713,0.3195
2021-02-12,ONGC,EQ,99.45,98.9,99.4,96.55,97.0,97.0,97.56,18187705,177435525925000.0,76650,8010421,0.4404
2021-02-15,ONGC,EQ,97.0,97.0,99.25,95.6,98.5,98.45,97.62,26118576,254977184155000.03,105502,6716208,0.2571
2021-02-16,ONGC,EQ,98.45,99.25,104.85,99.25,103.35,103.75,103.22,76236798,786899614710000.0,280197,22206350,0.2913
2021-02-17,ONGC,EQ,103.75,102.0,103.5,100.8,101.95,102.25,102.45,21014091,215294216919999.97,77475,6763640,0.32189999999999996
2021-02-18,ONGC,EQ,102.25,103.7,115.5,103.35,110.05,110.7,109.74,110000964,1207134850785000.0,355787,23336185,0.2121
2021-02-19,ONGC,EQ,110.7,110.7,112.2,103.85,105.1,105.1,108.7,48225988,524212956714999.94,180663,11983600,0.24850000000000003
2021-02-22,ONGC,EQ,105.1,105.9,108.55,105.3,106.15,106.3,107.17,36592043,392175115050000.0,141651,10625084,0.2904
2021-02-23,ONGC,EQ,106.3,109.75,114.4,109.45,112.3,112.2,112.82,90860972,1025060948035000.0,311280,15123465,0.16640000000000002
