Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,POWERGRID,EQ,184.45,184.45,189.45,182.5,189.2,188.9,186.73,5335449,99626795820000.0,54777,2142463,0.40159999999999996
2021-02-02,POWERGRID,EQ,188.9,191.0,195.65,189.2,194.6,194.2,193.68,6077028,117701551395000.0,48541,2086641,0.34340000000000004
2021-02-03,POWERGRID,EQ,194.2,194.5,210.0,194.5,205.8,206.5,205.41,41294096,848202358180000.0,173953,14258761,0.3453
2021-02-04,POWERGRID,EQ,206.5,206.5,207.65,204.2,206.0,205.35,205.95,13231702,272507160140000.0,57547,9162308,0.6925
2021-02-05,POWERGRID,EQ,205.35,205.65,208.3,201.25,206.25,207.1,204.84,16174758,331330000460000.0,70549,9962066,0.6159
2021-02-08,POWERGRID,EQ,207.1,206.5,213.4,205.7,211.5,212.55,209.89,15995755,335729605345000.0,83512,6721421,0.4202
2021-02-09,POWERGRID,EQ,212.55,210.0,217.45,210.0,210.5,210.75,214.46,15602724,334609329920000.0,90042,5653210,0.36229999999999996
2021-02-10,POWERGRID,EQ,210.75,210.55,214.0,207.0,209.75,210.45,210.72,19231530,405239436945000.0,81514,9898504,0.5147
2021-02-11,POWERGRID,EQ,210.45,208.85,214.8,208.35,214.3,213.75,212.82,11533755,245463831855000.03,45186,6523561,0.5656
2021-02-12,POWERGRID,EQ,213.75,219.0,219.0,210.55,212.05,212.65,213.54,14099935,301091839870000.0,77225,3808599,0.2701
2021-02-15,POWERGRID,EQ,212.65,214.0,215.45,211.55,212.8,212.45,213.04,4837278,103051129095000.0,39897,1831011,0.3785
2021-02-16,POWERGRID,EQ,212.45,213.4,229.9,213.3,225.75,225.55,224.89,45113050,1014529055795000.1,227360,9547299,0.2116
2021-02-17,POWERGRID,EQ,225.55,225.5,231.2,222.2,230.35,230.05,227.98,21957171,500589695089999.94,122400,7174622,0.3268
2021-02-18,POWERGRID,EQ,230.05,231.0,238.3,228.5,235.25,236.5,234.93,24914207,585319142115000.0,138694,7517531,0.3017
2021-02-19,POWERGRID,EQ,236.5,233.5,236.1,228.75,232.5,232.2,232.3,20438826,474801394610000.06,103469,9095974,0.445
2021-02-22,POWERGRID,EQ,232.2,232.45,233.9,223.6,224.5,224.95,227.69,14512980,330444403285000.0,62460,8100175,0.5581
2021-02-23,POWERGRID,EQ,224.95,225.75,229.1,224.65,226.0,226.1,226.66,10290130,233232556780000.03,58878,3965813,0.3854
2021-02-24,POWERGRID,EQ,226.1,226.15,228.2,221.6,222.6,222.75,224.63,6424498,144311131260000.0,55805,3775743,0.5877
2021-02-25,POWERGRID,EQ,222.75,223.7,232.8,220.8,227.8,227.55,226.96,17266549,391887740880000.0,142971,8846445,0.5123
2021-02-26,POWERGRID,EQ,227.55,221.5,227.25,211.2,213.85,214.3,217.87,21414774,466570991189999.94,128178,13166286,0.6148
2021-03-01,POWERGRID,EQ,214.3,217.5,228.8,217.4,228.8,227.25,224.26,17686096,396621422850000.0,136026,4029130,0.2278
2021-03-02,POWERGRID,EQ,227.25,229.0,229.35,223.35,225.8,225.05,225.68,10250883,231340590619999.97,97162,4388308,0.42810000000000004
2021-03-03,POWERGRID,EQ,225.05,230.0,230.15,223.7,227.5,227.5,226.59,10884683,246641169165000.0,61741,4444076,0.4083
2021-03-04,POWERGRID,EQ,227.5,223.05,229.95,223.05,225.85,225.15,226.87,12861986,291798780970000.0,74566,4695792,0.3651
2021-03-05,POWERGRID,EQ,225.15,226.0,226.0,219.35,221.4,220.25,222.48,9755263,217032224560000.0,68550,4140793,0.42450000000000004
2021-03-08,POWERGRID,EQ,220.25,217.85,223.9,217.0,219.3,220.15,221.19,8859067,195955360970000.0,87164,3229989,0.36460000000000004
2021-03-09,POWERGRID,EQ,220.15,220.5,222.1,213.25,215.5,216.0,216.6,7079067,153332091495000.0,52655,2624345,0.37070000000000003
2021-03-10,POWERGRID,EQ,216.0,218.0,218.95,214.0,215.35,215.15,216.01,5996907,129540488340000.02,44641,2076872,0.34630000000000005
2021-03-12,POWERGRID,EQ,215.15,215.7,220.9,215.4,220.0,220.05,219.33,10222359,224208747535000.0,71671,2850210,0.2788
2021-03-15,POWERGRID,EQ,220.05,221.0,226.5,219.75,223.45,224.15,223.38,16926895,378109169955000.0,149403,4150646,0.2452
2021-03-16,POWERGRID,EQ,224.15,225.15,227.2,223.5,224.5,224.45,225.23,8306833,187095914220000.0,78188,3182803,0.3832
2021-03-17,POWERGRID,EQ,224.45,224.95,225.0,219.35,220.4,220.45,221.87,7071264,156890843985000.0,70154,3946013,0.5579999999999999
2021-03-18,POWERGRID,EQ,220.45,221.0,223.5,220.15,221.15,221.05,221.41,8005871,177257531650000.0,65722,4673886,0.5838
2021-03-19,POWERGRID,EQ,221.05,221.9,232.1,219.15,228.8,230.2,228.29,39563112,903170104820000.1,200820,23292378,0.5887
2021-03-22,POWERGRID,EQ,230.2,234.4,234.4,222.2,222.6,223.55,225.48,16414250,370102804475000.0,125619,6445106,0.39270000000000005
2021-03-23,POWERGRID,EQ,223.55,223.55,224.0,218.5,219.0,219.0,220.29,21631451,476527309935000.06,97890,15472550,0.7153
2021-03-24,POWERGRID,EQ,219.0,217.05,223.9,216.9,220.8,221.05,221.59,13724418,304122801845000.0,100017,3782063,0.2756
2021-03-25,POWERGRID,EQ,221.05,221.05,223.4,215.35,216.7,216.4,219.12,11403073,249865018435000.0,88751,6275324,0.5503
2021-03-26,POWERGRID,EQ,216.4,219.35,222.0,212.15,213.7,214.6,213.94,14166489,303073413895000.0,140379,5956232,0.4204
2021-03-30,POWERGRID,EQ,214.6,216.9,223.7,215.4,220.6,221.35,221.21,29997550,663568069100000.0,142060,14623539,0.4875
2021-03-31,POWERGRID,EQ,221.35,219.9,221.1,214.65,215.6,215.65,216.41,11640412,251907359110000.0,118021,5792524,0.4976
2021-04-01,POWERGRID,EQ,215.65,216.65,219.35,214.75,217.75,218.7,216.87,6316508,136982990209999.98,61052,2188785,0.3465
2021-04-05,POWERGRID,EQ,218.7,215.2,219.0,213.35,214.65,214.15,214.96,8147763,175145323210000.0,48405,3967858,0.48700000000000004
2021-04-06,POWERGRID,EQ,214.15,215.2,219.0,208.5,209.8,209.2,212.87,14232228,302960982985000.0,119964,5619250,0.3948
2021-04-07,POWERGRID,EQ,209.2,210.9,216.2,209.55,210.9,210.55,212.64,12848471,273215203600000.0,91441,4390405,0.3417
2021-04-08,POWERGRID,EQ,210.55,211.95,213.5,208.5,208.6,209.0,210.93,11513749,242860607090000.0,91699,7019153,0.6096
2021-04-09,POWERGRID,EQ,209.0,209.4,211.45,208.0,209.0,208.3,209.36,6622326,138645074720000.0,49400,3173977,0.4793
2021-04-12,POWERGRID,EQ,208.3,206.65,206.65,198.5,201.5,201.15,201.13,10431180,209802704895000.0,128809,5647078,0.5414
2021-04-13,POWERGRID,EQ,201.15,205.15,209.4,202.45,209.0,208.75,207.02,11154981,230935114455000.03,61578,4227998,0.379
2021-04-15,POWERGRID,EQ,208.75,207.9,211.4,207.05,207.65,207.8,208.47,5714635,119134014509999.98,38504,2791939,0.4886
2021-04-16,POWERGRID,EQ,207.8,207.5,214.8,207.25,209.85,209.85,211.78,12386729,262326993605000.03,69653,6022925,0.48619999999999997
2021-04-19,POWERGRID,EQ,209.85,205.85,207.0,200.0,201.2,201.2,202.54,10352810,209682218445000.0,64584,5257817,0.5079
2021-04-20,POWERGRID,EQ,201.2,205.0,205.7,201.65,202.85,203.7,203.66,8138061,165736435590000.0,46794,3415142,0.4197
2021-04-22,POWERGRID,EQ,203.7,204.0,204.9,201.2,203.2,203.45,203.62,6539885,133167549680000.0,57076,3341382,0.5109
2021-04-23,POWERGRID,EQ,203.45,204.3,212.9,204.0,210.9,211.15,211.3,21553903,455434499439999.94,148225,3531452,0.1638
2021-04-26,POWERGRID,EQ,211.15,208.2,216.45,208.2,215.75,215.8,213.23,10765892,229564151335000.0,72260,3544712,0.3293
2021-04-27,POWERGRID,EQ,215.8,216.05,220.5,215.8,216.4,216.65,217.89,8589721,187160498400000.0,77004,2723654,0.3171
2021-04-28,POWERGRID,EQ,216.65,218.8,221.7,216.3,221.35,220.9,219.2,9215766,202010262385000.0,55866,3775749,0.4097
2021-04-29,POWERGRID,EQ,220.9,223.1,223.65,219.05,219.8,220.15,220.6,8303610,183174824900000.0,48655,3692925,0.4447
2021-04-30,POWERGRID,EQ,220.15,217.75,222.3,216.65,220.35,220.05,220.24,9504624,209332798050000.0,56225,4634594,0.4876
2021-05-03,POWERGRID,EQ,220.05,217.5,222.85,216.75,220.9,220.8,220.83,8734538,192886150240000.0,56798,4046253,0.4632
2021-05-04,POWERGRID,EQ,220.8,221.4,221.7,216.7,218.3,218.05,219.0,11732310,256937156775000.0,47304,5823205,0.4963
2021-05-05,POWERGRID,EQ,218.05,218.05,220.35,216.8,218.5,218.2,218.32,13037762,284642136855000.0,42753,8383019,0.643
2021-05-06,POWERGRID,EQ,218.2,218.45,219.4,213.6,216.0,215.4,216.09,10588285,228798763725000.0,53340,5960554,0.5629
2021-05-07,POWERGRID,EQ,215.4,216.35,216.8,213.5,214.15,214.55,214.89,7036647,151209852025000.0,67192,4500895,0.6396000000000001
2021-05-10,POWERGRID,EQ,214.55,215.4,220.15,214.95,220.0,219.85,217.84,10038140,218666049185000.0,46625,5877813,0.5855
2021-05-11,POWERGRID,EQ,219.85,220.0,225.2,218.4,223.25,223.4,221.27,12935130,286219444325000.0,92663,5764282,0.44560000000000005
2021-05-12,POWERGRID,EQ,223.4,223.4,235.0,223.05,226.0,225.95,229.91,31300529,719639272130000.0,198124,8348443,0.26670000000000005
2021-05-14,POWERGRID,EQ,225.95,227.75,230.0,223.85,228.85,228.85,227.16,10586699,240484722730000.03,78206,4008148,0.3786
2021-05-17,POWERGRID,EQ,228.85,230.95,231.0,227.1,228.5,228.4,228.52,6185447,141350787920000.0,51589,2856765,0.4619
2021-05-18,POWERGRID,EQ,228.4,230.9,239.85,228.5,233.9,233.1,236.7,29747844,704137070575000.0,151978,11375022,0.3824
2021-05-19,POWERGRID,EQ,233.1,234.2,238.0,231.4,233.15,233.75,235.16,15795589,371456705340000.0,88935,4548360,0.28800000000000003
2021-05-20,POWERGRID,EQ,233.75,234.0,234.95,228.4,229.45,228.95,231.24,6022766,139269091090000.02,42510,2613959,0.434
2021-05-21,POWERGRID,EQ,228.95,228.05,229.25,226.0,228.25,227.95,227.46,12207875,277684882985000.0,58470,6474600,0.5304
2021-05-24,POWERGRID,EQ,227.95,229.0,234.4,228.4,231.0,231.0,232.26,12391275,287804738910000.0,96298,2971725,0.2398
2021-05-25,POWERGRID,EQ,231.0,233.0,234.45,231.15,233.1,232.9,233.17,5155518,120211224055000.0,39780,2011313,0.3901
2021-05-26,POWERGRID,EQ,232.9,233.2,233.8,224.95,225.9,225.6,227.63,10306192,234603464600000.0,73860,5142640,0.499
2021-05-27,POWERGRID,EQ,225.6,226.7,229.6,223.25,229.0,228.3,227.25,28796749,654411699965000.0,84955,19545676,0.6787000000000001
