Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,SBIN,EQ,282.1,285.1,313.9,282.75,313.0,310.7,300.59,103414068,3108566789260000.0,571788,29428379,0.2846
2021-02-02,SBIN,EQ,310.7,315.0,337.4,315.0,331.4,333.1,325.89,121434166,3957385592419999.5,696797,32088704,0.26420000000000005
2021-02-03,SBIN,EQ,333.1,333.75,339.9,325.8,335.75,335.95,334.1,66420168,2219088273705000.0,464739,13550924,0.204
2021-02-04,SBIN,EQ,335.95,334.4,358.0,331.1,357.95,355.1,343.11,145203439,4982132498270000.0,799597,26685044,0.1838
2021-02-05,SBIN,EQ,355.1,387.0,408.35,385.15,395.0,393.1,397.71,214955688,8549082574114999.0,1155236,40372151,0.18780000000000002
2021-02-08,SBIN,EQ,393.1,398.0,407.8,394.75,395.85,397.05,400.46,79389205,3179194001235000.0,577218,17607498,0.2218
2021-02-09,SBIN,EQ,397.05,396.75,403.5,389.0,393.6,394.8,396.65,63869990,2533422619080000.0,473516,11998829,0.18789999999999998
2021-02-10,SBIN,EQ,394.8,394.05,397.9,388.0,393.15,392.25,392.67,54163507,2126823641955000.0,395057,11147782,0.20579999999999998
2021-02-11,SBIN,EQ,392.25,391.8,396.95,388.25,390.9,390.15,391.61,36392708,1425158115975000.0,263431,5317852,0.1461
2021-02-12,SBIN,EQ,390.15,391.0,399.35,385.55,392.95,393.15,392.34,53589755,2102515173534999.8,406441,7559236,0.1411
2021-02-15,SBIN,EQ,393.15,397.5,409.45,395.7,409.0,406.95,403.08,56608937,2281786664770000.0,439746,14664959,0.2591
2021-02-16,SBIN,EQ,406.95,412.0,415.75,400.3,402.9,402.35,407.39,80365431,3273985684250000.0,574557,17910995,0.2229
2021-02-17,SBIN,EQ,402.35,403.0,414.85,400.15,413.4,411.75,410.54,74161370,3044612968840000.0,499222,13131429,0.1771
2021-02-18,SBIN,EQ,411.75,425.05,427.7,413.7,415.25,415.2,419.02,67154539,2813882041800000.0,583049,15846238,0.23600000000000002
2021-02-19,SBIN,EQ,415.2,415.0,415.0,395.0,400.6,399.55,405.06,66155518,2679708279565000.0,479710,15537879,0.2349
2021-02-22,SBIN,EQ,399.55,400.6,401.0,385.65,387.95,389.5,392.32,52535049,2061033869455000.0,443311,12001053,0.2284
2021-02-23,SBIN,EQ,389.5,392.0,399.7,389.0,395.6,395.6,395.45,45462768,1797820266740000.2,342766,10717389,0.23570000000000002
2021-02-24,SBIN,EQ,395.6,397.0,410.5,395.2,407.7,406.25,404.08,39632090,1601468839965000.0,340087,10700242,0.27
2021-02-25,SBIN,EQ,406.25,411.0,414.9,406.55,407.4,407.25,410.68,46988836,1929728993090000.2,355281,10886628,0.23170000000000002
2021-02-26,SBIN,EQ,407.25,399.5,401.0,387.0,391.25,390.15,393.88,64450414,2538586209455000.0,536209,21480283,0.3333
2021-03-01,SBIN,EQ,390.15,395.1,397.7,391.0,395.2,394.95,394.72,29677890,1171447657725000.0,245987,5855389,0.1973
2021-03-02,SBIN,EQ,394.95,395.0,399.55,390.55,394.8,394.2,394.42,30534337,1204334869415000.0,249193,7102687,0.23260000000000003
2021-03-03,SBIN,EQ,394.2,396.5,408.9,396.0,404.7,405.05,404.09,46268223,1869648662609999.8,326940,13944550,0.3014
2021-03-04,SBIN,EQ,405.05,398.7,403.5,394.45,396.8,395.65,399.48,43603653,1741897426605000.0,285942,17521078,0.4018
2021-03-05,SBIN,EQ,395.65,395.0,395.0,378.1,385.35,383.65,384.66,72179228,2776431424765000.0,599426,22896856,0.3172
2021-03-08,SBIN,EQ,383.65,388.45,393.4,386.05,390.1,389.6,389.52,39147858,1524897763360000.0,297783,11421277,0.2917
2021-03-09,SBIN,EQ,389.6,393.45,394.9,382.25,387.9,387.6,389.13,28054083,1091677512545000.1,220873,4544944,0.162
2021-03-10,SBIN,EQ,387.6,391.1,393.0,385.7,388.2,387.7,388.21,22677399,880349725215000.0,187380,6294280,0.2776
2021-03-12,SBIN,EQ,387.7,391.7,393.2,377.5,381.1,381.1,385.33,35336355,1361622181200000.0,296998,10146190,0.2871
2021-03-15,SBIN,EQ,381.1,382.5,386.0,369.35,385.6,383.9,375.54,42722976,1604432800740000.0,414882,9545797,0.22340000000000002
2021-03-16,SBIN,EQ,383.9,385.6,387.85,376.1,378.9,378.55,380.21,38196452,1452268145630000.0,300656,8488656,0.22219999999999998
2021-03-17,SBIN,EQ,378.55,378.2,379.65,366.05,366.9,368.15,373.37,33143064,1237476012665000.0,298083,8835143,0.2666
2021-03-18,SBIN,EQ,368.15,371.5,375.0,361.1,368.2,367.1,368.98,39405038,1453953983305000.0,285769,10367862,0.2631
2021-03-19,SBIN,EQ,367.1,363.95,372.9,357.25,372.4,371.15,366.26,60309145,2208863777759999.8,400389,18704924,0.3102
2021-03-22,SBIN,EQ,371.15,372.0,372.8,363.5,367.6,367.0,367.73,28461974,1046619318685000.0,242100,6057167,0.21280000000000002
2021-03-23,SBIN,EQ,367.0,368.7,377.95,367.05,372.3,372.7,372.08,41032380,1526720477070000.0,304725,9512982,0.2318
2021-03-24,SBIN,EQ,372.7,368.5,369.05,358.65,360.1,359.85,363.63,42318999,1538857465155000.0,385721,12800434,0.3025
2021-03-25,SBIN,EQ,359.85,360.0,360.85,345.2,356.3,355.2,353.03,57495003,2029720034620000.0,438853,15832997,0.2754
2021-03-26,SBIN,EQ,355.2,360.0,362.0,354.55,358.5,357.2,358.14,40718848,1458320089230000.0,407233,9493663,0.23320000000000002
2021-03-30,SBIN,EQ,357.2,360.1,364.3,356.3,360.5,360.8,360.57,39407496,1420923559960000.0,340842,11452061,0.29059999999999997
