Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,SHREECEM,EQ,22773.35,23100.0,24690.45,22711.95,24600.0,24543.6,23713.69,112280,266257319035000.0,30036,35185,0.3134
2021-02-02,SHREECEM,EQ,24543.6,24543.6,26650.0,24200.55,26333.5,26432.55,25942.6,188876,489993362185000.06,48663,55154,0.292
2021-02-03,SHREECEM,EQ,26432.55,26400.0,26579.0,25731.05,26000.0,25994.4,26170.7,110699,289707000250000.0,30301,20585,0.18600000000000003
2021-02-04,SHREECEM,EQ,25994.4,25990.0,27329.25,25607.6,27250.0,27091.0,26712.85,135104,360901296260000.0,35433,30359,0.22469999999999998
2021-02-05,SHREECEM,EQ,27091.0,27112.5,27286.95,26614.05,26722.0,26722.85,26938.49,63260,170412914330000.0,19678,5476,0.0866
2021-02-08,SHREECEM,EQ,26722.85,26907.15,28287.5,26750.05,27950.05,28022.2,27831.8,183938,511932632635000.06,32393,52494,0.2854
2021-02-09,SHREECEM,EQ,28022.2,27360.1,28599.1,27360.1,28250.5,28165.8,28154.19,137375,386768185700000.0,30898,34416,0.2505
2021-02-10,SHREECEM,EQ,28165.8,28245.0,28596.0,27853.05,28270.0,28293.75,28206.36,86564,244165531440000.0,23159,13958,0.1612
2021-02-11,SHREECEM,EQ,28293.75,28268.0,28500.0,28010.25,28150.15,28344.2,28249.27,54109,152853980035000.0,15077,6541,0.12090000000000001
2021-02-12,SHREECEM,EQ,28344.2,28200.0,28475.0,27800.0,28000.5,27965.85,28110.19,57620,161970887445000.0,15452,8423,0.1462
2021-02-15,SHREECEM,EQ,27965.85,28184.95,28840.0,28101.35,28639.95,28653.25,28519.72,61303,174834423570000.0,17348,8506,0.1388
2021-02-16,SHREECEM,EQ,28653.25,28653.25,29090.0,28426.1,28720.0,28597.4,28784.85,70319,202412195205000.0,22650,15512,0.2206
2021-02-17,SHREECEM,EQ,28597.4,28569.4,28840.45,28150.05,28340.0,28268.5,28508.59,41156,117329937480000.0,11493,7046,0.17120000000000002
2021-02-18,SHREECEM,EQ,28268.5,28580.0,28580.0,27358.6,27740.0,27623.35,27801.86,63910,177681688405000.0,20322,13306,0.2082
2021-02-19,SHREECEM,EQ,27623.35,27649.95,27857.45,26753.35,27529.0,27542.45,27508.45,50262,138262972325000.0,18216,9214,0.1833
2021-02-22,SHREECEM,EQ,27542.45,27615.0,27750.0,26927.8,26947.6,27090.85,27354.64,28369,77602370875000.0,10339,4335,0.1528
2021-02-23,SHREECEM,EQ,27090.85,27165.0,27532.05,26770.0,27379.8,27260.35,27151.82,46471,126177242075000.0,14764,6602,0.1421
2021-02-24,SHREECEM,EQ,27260.35,27313.25,27849.95,26500.0,27650.0,27553.0,27269.47,17368,47361616960000.0,6474,5385,0.31010000000000004
2021-02-25,SHREECEM,EQ,27553.0,27553.0,27879.9,27238.3,27485.35,27450.9,27509.62,52154,143473662495000.0,15248,18612,0.3569
2021-02-26,SHREECEM,EQ,27450.9,27450.9,27720.5,26169.9,26236.1,26501.7,26903.39,76766,206526550045000.0,25498,27495,0.3582
2021-03-01,SHREECEM,EQ,26501.7,26600.5,27832.5,26600.5,27665.0,27706.95,27249.12,58805,160238441360000.0,19449,11593,0.19710000000000003
2021-03-02,SHREECEM,EQ,27706.95,27710.0,27800.0,27280.05,27755.0,27658.75,27542.55,39347,108371655505000.0,15176,11037,0.2805
2021-03-03,SHREECEM,EQ,27658.75,27755.5,28159.55,27550.75,27678.9,27695.25,27826.51,40649,113111998305000.0,13219,6771,0.1666
2021-03-04,SHREECEM,EQ,27695.25,27450.0,28850.0,27335.05,28500.0,28676.6,28284.49,83170,235242098625000.0,22747,26364,0.317
2021-03-05,SHREECEM,EQ,28676.6,28300.5,28894.85,27740.95,27850.0,27848.6,28271.57,65557,185339945825000.0,22241,13837,0.2111
2021-03-08,SHREECEM,EQ,27848.6,27900.0,28486.95,27093.2,27240.0,27185.05,27698.57,57156,158313947515000.0,18881,10004,0.17500000000000002
2021-03-09,SHREECEM,EQ,27185.05,27445.0,27980.0,27151.85,27250.0,27313.15,27551.34,59204,163114969060000.0,18235,13325,0.22510000000000002
2021-03-10,SHREECEM,EQ,27313.15,27538.9,27693.85,27300.0,27580.0,27555.8,27483.05,29812,81932458055000.0,9961,4743,0.1591
2021-03-12,SHREECEM,EQ,27555.8,27878.0,27980.0,27541.0,27630.0,27701.5,27713.65,43864,121563138925000.0,15175,15088,0.344
2021-03-15,SHREECEM,EQ,27701.5,27811.5,27850.0,27005.1,27713.0,27644.55,27394.64,32587,89270901525000.0,12679,5864,0.17989999999999998
2021-03-16,SHREECEM,EQ,27644.55,27895.0,27948.25,27351.1,27360.0,27430.8,27614.11,38175,105416881610000.0,13226,11611,0.3042
2021-03-17,SHREECEM,EQ,27430.8,27431.1,27550.0,26710.9,26900.0,26842.2,27045.39,38409,103878622995000.0,14658,11744,0.3058
2021-03-18,SHREECEM,EQ,26842.2,27125.0,27269.95,26450.0,26669.75,26595.5,26825.96,38464,103183373295000.0,14310,10871,0.2826
2021-03-19,SHREECEM,EQ,26595.5,26455.0,27118.25,26100.0,26899.2,26936.7,26668.83,74153,197757402905000.0,21067,34535,0.4657
2021-03-22,SHREECEM,EQ,26936.7,26900.0,27214.15,26618.0,26940.15,26954.5,26868.11,45373,121908685780000.0,14318,14957,0.3296
2021-03-23,SHREECEM,EQ,26954.5,26951.0,28500.0,26951.0,28400.0,28312.2,27888.35,123156,343461799765000.0,36013,32713,0.2656
2021-03-24,SHREECEM,EQ,28312.2,28172.0,28390.65,27719.9,27840.0,27803.3,27979.25,63069,176462328710000.0,22102,20542,0.3257
2021-03-25,SHREECEM,EQ,27803.3,27900.0,28139.95,27264.95,27570.0,27580.35,27648.95,64357,177940339440000.0,23213,22339,0.3471
2021-03-26,SHREECEM,EQ,27580.35,27810.7,28319.95,27673.05,28150.0,28116.2,28100.69,74139,208335695440000.0,19435,35062,0.4729
2021-03-30,SHREECEM,EQ,28116.2,28500.0,29500.0,28301.8,29500.0,29094.45,29081.01,94570,275019110644999.97,31530,29973,0.3169
2021-03-31,SHREECEM,EQ,29094.45,29094.45,29660.0,28756.0,29410.0,29465.4,29402.63,82764,243347890935000.0,23094,30777,0.3719
2021-04-01,SHREECEM,EQ,29465.4,29570.0,30279.5,29445.4,29850.0,29951.95,29867.12,52771,157611790215000.0,15708,13824,0.262
2021-04-05,SHREECEM,EQ,29951.95,29900.0,30628.4,29650.0,30375.0,30358.25,30193.46,124392,375582531030000.0,30244,51734,0.41590000000000005
2021-04-06,SHREECEM,EQ,30358.25,30375.0,30500.0,30010.35,30150.0,30114.1,30242.64,52886,159941235385000.0,19536,18805,0.3556
2021-04-07,SHREECEM,EQ,30114.1,30140.0,30580.7,29953.0,30251.4,30230.65,30274.36,40554,122774619750000.0,16266,12980,0.3201
2021-04-08,SHREECEM,EQ,30230.65,30260.0,32048.0,30260.0,31680.0,31582.65,31379.69,148094,464714314670000.0,43801,53893,0.3639
2021-04-09,SHREECEM,EQ,31582.65,31682.4,31990.0,31120.0,31601.45,31748.75,31573.09,146698,463170855864999.94,27457,86504,0.5897
2021-04-12,SHREECEM,EQ,31748.75,31200.0,31497.4,29757.85,30198.6,29881.05,30337.24,114698,347962044310000.0,33755,59931,0.5225
2021-04-13,SHREECEM,EQ,29881.05,30200.0,30699.9,30110.0,30420.95,30356.05,30382.43,91665,278500521165000.0,29098,35243,0.38450000000000006
