Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,SUNPHARMA,EQ,586.2,596.0,599.4,579.6,593.0,590.15,589.43,12621971,743971643185000.0,219511,2955251,0.2341
2021-02-02,SUNPHARMA,EQ,590.15,596.95,616.9,591.5,609.85,609.45,605.09,15788247,955328104535000.0,216023,3659196,0.2318
2021-02-03,SUNPHARMA,EQ,609.45,612.5,648.4,610.5,628.55,629.2,634.62,23788455,1509652715745000.0,322256,6022559,0.2532
2021-02-04,SUNPHARMA,EQ,629.2,632.5,641.0,626.25,632.95,631.5,634.75,7926593,503141934085000.06,161793,1883775,0.2377
2021-02-05,SUNPHARMA,EQ,631.5,633.5,644.25,623.15,637.0,634.75,634.95,10981738,697287419020000.0,162460,3191684,0.29059999999999997
2021-02-08,SUNPHARMA,EQ,634.75,640.9,644.85,632.55,633.95,634.65,638.49,6479801,413730249370000.0,113802,1199154,0.18510000000000001
2021-02-09,SUNPHARMA,EQ,634.65,631.9,639.25,621.0,623.05,623.6,631.12,5794015,365673898035000.0,103088,1274221,0.21989999999999998
2021-02-10,SUNPHARMA,EQ,623.6,623.05,631.55,614.1,630.85,627.1,621.62,6902162,429052592420000.0,116211,1394254,0.20199999999999999
2021-02-11,SUNPHARMA,EQ,627.1,622.0,648.75,622.0,643.6,643.65,639.84,11433578,731569729860000.0,142011,2305545,0.2016
2021-02-12,SUNPHARMA,EQ,643.65,654.4,654.4,622.35,628.5,627.15,633.45,15471776,980060480140000.0,198400,2873251,0.1857
2021-02-15,SUNPHARMA,EQ,627.15,632.0,637.3,623.3,627.45,627.5,630.42,7310676,460880710075000.0,96803,1411596,0.1931
2021-02-16,SUNPHARMA,EQ,627.5,631.0,634.5,623.0,630.15,631.15,629.07,6137454,386088939155000.0,97812,1025648,0.1671
2021-02-17,SUNPHARMA,EQ,631.15,628.7,632.4,619.8,621.45,621.25,625.16,4700733,293869093365000.0,84862,1134623,0.2414
2021-02-18,SUNPHARMA,EQ,621.25,622.0,627.25,614.1,616.0,616.05,619.38,5633766,348945982375000.0,116906,1436765,0.255
2021-02-19,SUNPHARMA,EQ,616.05,615.9,622.3,601.2,608.0,607.3,613.5,7301975,447976371875000.0,104227,1564395,0.21420000000000003
2021-02-22,SUNPHARMA,EQ,607.3,608.0,610.85,590.4,591.5,595.3,602.79,5330343,321306774750000.0,103930,1263353,0.237
2021-02-23,SUNPHARMA,EQ,595.3,595.0,608.35,592.0,603.95,604.05,603.2,7564187,456272788925000.0,133379,2475901,0.3273
2021-02-24,SUNPHARMA,EQ,604.05,607.1,609.35,595.85,600.4,601.45,602.88,3296243,198722317030000.0,68030,1081998,0.3283
2021-02-25,SUNPHARMA,EQ,601.45,606.4,618.9,602.7,611.15,609.55,613.67,6261754,384267552395000.0,115363,2519201,0.4023
2021-02-26,SUNPHARMA,EQ,609.55,604.95,621.35,590.0,595.45,594.6,608.62,15404415,937538749760000.0,228435,5061737,0.3286
2021-03-01,SUNPHARMA,EQ,594.6,600.0,610.8,597.05,606.0,604.45,602.93,5274758,318031258010000.0,93184,1259108,0.23870000000000002
2021-03-02,SUNPHARMA,EQ,604.45,609.0,616.35,604.5,614.3,614.2,610.54,4776776,291641836005000.0,84381,1135821,0.2378
2021-03-03,SUNPHARMA,EQ,614.2,616.5,625.4,612.25,624.5,624.35,620.06,6626297,410870393280000.0,100125,2620619,0.39549999999999996
2021-03-04,SUNPHARMA,EQ,624.35,622.0,636.75,616.0,618.45,618.95,626.37,11530735,722251138330000.0,145160,2746613,0.2382
2021-03-05,SUNPHARMA,EQ,618.95,619.45,619.45,606.9,611.0,611.2,613.05,6127488,375643861670000.0,110170,2347589,0.38310000000000005
2021-03-08,SUNPHARMA,EQ,611.2,611.5,621.9,611.3,614.35,614.8,616.64,4554461,280848481005000.03,76021,1803224,0.39590000000000003
2021-03-09,SUNPHARMA,EQ,614.8,618.0,620.9,607.5,612.0,612.6,613.75,4035628,247686321405000.03,81054,1794894,0.4448
2021-03-10,SUNPHARMA,EQ,612.6,618.0,627.9,615.35,624.35,626.0,622.07,5825924,362410891635000.0,97528,2390166,0.4103
2021-03-12,SUNPHARMA,EQ,626.0,628.0,629.15,611.5,612.3,613.6,619.8,4264170,264294435644999.97,74203,1385071,0.3248
2021-03-15,SUNPHARMA,EQ,613.6,614.0,614.0,596.5,605.5,605.5,603.59,4030875,243298536480000.03,80292,1076102,0.267
2021-03-16,SUNPHARMA,EQ,605.5,606.0,609.95,599.25,601.8,602.3,603.29,4189930,252775177940000.0,83873,1660602,0.39630000000000004
2021-03-17,SUNPHARMA,EQ,602.3,604.0,604.0,582.0,582.25,584.75,589.93,7667561,452330217564999.94,164383,3873171,0.5051
2021-03-18,SUNPHARMA,EQ,584.75,587.4,591.55,572.0,575.7,574.55,580.07,5537584,321216992615000.0,96891,1922039,0.3471
