Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,44_obs_for_SMA
2021-01-01,TATACONSUM,EQ,589.9,593.0,606.8,591.0,601.75,601.5,602.38,3606724,217262690319999.97,51714,809702,0.2245,
2021-01-04,TATACONSUM,EQ,601.5,606.95,606.95,597.5,605.4,604.0,603.55,2120531,127984316440000.02,36080,741748,0.3498,
2021-01-05,TATACONSUM,EQ,604.0,604.0,614.3,601.1,608.65,609.55,609.01,3813409,232240939469999.97,67056,1061235,0.2783,
2021-01-06,TATACONSUM,EQ,609.55,613.0,613.8,595.4,605.75,604.95,606.23,2167700,131412841434999.98,51037,768644,0.3546,
2021-01-07,TATACONSUM,EQ,604.95,609.7,610.3,598.55,601.95,600.85,603.71,2195640,132553012055000.0,49781,1061151,0.4833,
2021-01-08,TATACONSUM,EQ,600.85,606.8,612.5,602.6,607.95,609.55,607.91,3458752,210261271545000.0,57544,1538239,0.4447,
2021-01-11,TATACONSUM,EQ,609.55,613.0,632.8,609.5,632.5,629.0,621.63,6360644,395393945630000.0,94959,1766796,0.2778,
2021-01-12,TATACONSUM,EQ,629.0,632.6,634.9,620.0,623.45,624.3,626.09,4562628,285659477745000.0,80565,1312363,0.2876,
2021-01-13,TATACONSUM,EQ,624.3,626.8,633.0,611.3,619.95,620.4,623.76,3660044,228298662175000.0,74518,1351305,0.36920000000000003,
2021-01-14,TATACONSUM,EQ,620.4,622.9,623.0,608.65,613.5,614.0,615.5,3576000,220103994205000.03,60830,2163917,0.6051,
2021-01-15,TATACONSUM,EQ,614.0,610.0,613.5,595.0,602.0,602.4,602.72,4492648,270781103310000.0,103868,2241375,0.4989,
2021-01-18,TATACONSUM,EQ,602.4,601.5,601.5,581.0,582.8,584.75,589.52,3346718,197294973150000.0,68749,1348809,0.40299999999999997,
2021-01-19,TATACONSUM,EQ,584.75,590.0,591.0,577.35,582.4,582.7,582.29,5743934,334465420160000.0,105986,3145514,0.5476,
2021-01-20,TATACONSUM,EQ,582.7,588.0,602.7,583.6,598.0,596.65,595.91,6156865,366894701805000.0,102282,1176444,0.1911,
2021-01-21,TATACONSUM,EQ,596.65,603.4,612.75,590.05,599.3,595.25,604.53,4506198,272413931440000.0,64521,893652,0.19829999999999998,
2021-01-22,TATACONSUM,EQ,595.25,599.2,606.9,582.6,585.5,584.75,595.98,4307126,256697390805000.03,62947,1609830,0.3738,
2021-01-25,TATACONSUM,EQ,584.75,587.8,589.85,570.0,573.55,573.6,578.74,2016556,116705887034999.98,42891,499284,0.24760000000000001,
2021-01-27,TATACONSUM,EQ,573.6,573.0,588.55,566.55,573.0,572.65,578.75,3662455,211964781845000.0,72804,1165107,0.3181,
2021-01-28,TATACONSUM,EQ,572.65,571.9,576.0,561.5,565.5,564.6,566.14,4769073,269996612494999.97,79782,2051184,0.4301,
2021-01-29,TATACONSUM,EQ,564.6,574.0,574.0,554.25,555.0,559.8,565.14,3593336,203073674770000.0,85816,1885223,0.5246000000000001,
2021-02-01,TATACONSUM,EQ,559.8,563.0,588.75,554.35,588.5,584.15,571.02,4707518,268807144675000.0,79921,1883328,0.4001,
2021-02-02,TATACONSUM,EQ,584.15,590.0,596.4,567.15,575.95,575.35,576.38,5713446,329312778345000.0,85412,2078297,0.3638,
2021-02-03,TATACONSUM,EQ,575.35,589.0,598.0,571.0,579.8,580.15,585.43,10599727,620536726425000.0,153279,2624497,0.24760000000000001,
2021-02-04,TATACONSUM,EQ,580.15,585.0,590.0,577.55,588.6,588.05,584.37,3816120,223003791869999.97,49090,1302283,0.34130000000000005,
2021-02-05,TATACONSUM,EQ,588.05,593.9,600.0,589.2,592.95,592.5,595.49,5918498,352438897360000.0,98195,2080509,0.3515,
2021-02-08,TATACONSUM,EQ,592.5,595.0,604.8,594.9,598.0,597.1,600.29,3970852,238367861690000.0,99098,1400400,0.3527,
2021-02-09,TATACONSUM,EQ,597.1,597.0,607.5,594.55,598.75,598.7,601.94,3072281,184932390050000.0,54668,1083303,0.35259999999999997,
2021-02-10,TATACONSUM,EQ,598.7,600.75,605.95,597.3,602.0,600.75,601.81,2435907,146594946470000.0,39565,871698,0.3579,
2021-02-11,TATACONSUM,EQ,600.75,603.3,622.0,598.35,611.0,610.35,614.53,7033762,432247606420000.0,90860,1844667,0.26230000000000003,
2021-02-12,TATACONSUM,EQ,610.35,616.2,616.2,603.5,607.0,607.5,607.93,3621853,220182258405000.03,45177,1449877,0.40030000000000004,
2021-02-15,TATACONSUM,EQ,607.5,608.0,625.5,607.4,625.5,623.1,616.32,3234989,199379497965000.0,55471,1182021,0.3654,
2021-02-16,TATACONSUM,EQ,623.1,629.9,634.95,617.55,628.15,628.35,627.15,6418986,402569164905000.0,115263,2084181,0.3247,
2021-02-17,TATACONSUM,EQ,628.35,636.0,645.7,624.25,632.85,632.15,633.9,8556599,542404939650000.0,140067,1735091,0.2028,
2021-02-18,TATACONSUM,EQ,632.15,637.45,643.4,621.15,623.95,624.0,630.86,4457424,281201170900000.0,60277,2027584,0.4549,
2021-02-19,TATACONSUM,EQ,624.0,624.0,626.1,610.45,617.7,616.95,618.82,3013104,186455691470000.0,52868,1114649,0.3699,
