Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,TATAMOTORS,EQ,262.7,269.75,282.0,255.35,280.3,279.6,269.6,165655500,4466063381744999.5,797774,12678691,0.0765
2021-02-02,TATAMOTORS,EQ,279.6,293.6,328.85,290.4,326.95,322.0,308.75,251965965,7779481872464999.0,1201928,30359979,0.12050000000000001
2021-02-03,TATAMOTORS,EQ,322.0,339.2,341.9,326.2,331.2,331.0,334.33,224190114,7495451628710001.0,1057040,22289570,0.0994
2021-02-04,TATAMOTORS,EQ,331.0,329.0,334.5,322.45,326.1,326.15,328.68,121033002,3978159711325000.0,693061,10773872,0.08900000000000001
2021-02-05,TATAMOTORS,EQ,326.15,327.6,330.0,312.6,318.45,315.9,319.24,103512235,3304550022925000.0,620367,13161252,0.12710000000000002
2021-02-08,TATAMOTORS,EQ,315.9,318.75,339.25,318.0,336.55,335.95,328.1,102123614,3350695568995000.0,597813,13791043,0.135
2021-02-09,TATAMOTORS,EQ,335.95,337.0,338.5,322.2,325.85,325.05,328.65,105981081,3483032889575000.0,596440,11770233,0.11109999999999999
2021-02-10,TATAMOTORS,EQ,325.05,326.0,332.65,319.5,328.55,328.9,325.62,93466949,3043483376205000.0,474065,5592345,0.059800000000000006
2021-02-11,TATAMOTORS,EQ,328.9,326.45,331.35,323.4,324.9,325.0,326.77,55257166,1805656376625000.0,317814,6734537,0.1219
2021-02-12,TATAMOTORS,EQ,325.0,326.4,330.5,321.25,324.55,325.4,326.36,64093642,2091745008600000.0,344490,4621930,0.0721
2021-02-15,TATAMOTORS,EQ,325.4,329.9,335.8,324.0,331.9,333.35,329.83,78680452,2595079565545000.0,418089,8356395,0.10619999999999999
2021-02-16,TATAMOTORS,EQ,333.35,335.45,337.9,327.5,329.0,329.2,331.95,65943843,2189030440055000.0,349911,8320793,0.1262
2021-02-17,TATAMOTORS,EQ,329.2,326.9,334.25,325.45,329.7,330.15,329.78,52150941,1719846274005000.0,288923,5743645,0.1101
2021-02-18,TATAMOTORS,EQ,330.15,331.5,331.75,321.1,323.0,323.85,327.39,49204247,1610895768200000.0,305338,10654511,0.2165
2021-02-19,TATAMOTORS,EQ,323.85,321.95,321.95,301.4,312.45,311.85,313.32,80274683,2515157675790000.0,516227,11456545,0.1427
2021-02-22,TATAMOTORS,EQ,311.85,312.45,313.9,302.15,302.6,304.5,308.0,57723298,1777857910609999.8,341152,5272946,0.0913
2021-02-23,TATAMOTORS,EQ,304.5,308.5,328.9,308.5,324.6,324.0,319.8,133310157,4263243024510000.0,696488,12357798,0.09269999999999999
2021-02-24,TATAMOTORS,EQ,324.0,325.0,330.0,316.5,321.2,321.65,324.47,50821757,1648997487385000.0,287089,10529353,0.2072
2021-02-25,TATAMOTORS,EQ,321.65,325.35,334.7,323.25,333.6,333.15,328.91,64514912,2121956749134999.8,352535,13578645,0.21050000000000002
2021-02-26,TATAMOTORS,EQ,333.15,323.0,332.95,318.85,321.9,322.95,324.69,91901339,2983921380950000.0,493729,15790964,0.1718
2021-03-01,TATAMOTORS,EQ,322.95,330.0,331.85,322.7,327.7,328.3,327.28,61190868,2002666575384999.8,352381,6661638,0.10890000000000001
2021-03-02,TATAMOTORS,EQ,328.3,331.1,347.2,326.45,345.25,345.75,339.18,127708761,4331648389144999.5,728843,20697600,0.16210000000000002
2021-03-03,TATAMOTORS,EQ,345.75,348.65,357.0,346.5,347.1,348.5,351.7,92006451,3235853306050000.0,527778,19193283,0.2086
2021-03-04,TATAMOTORS,EQ,348.5,339.0,345.4,337.3,340.0,339.2,341.5,59863169,2044350860645000.0,365276,11468971,0.1916
2021-03-05,TATAMOTORS,EQ,339.2,333.0,337.85,319.7,326.45,325.15,329.04,86738909,2854048658350000.0,511915,18958771,0.2186
2021-03-08,TATAMOTORS,EQ,325.15,331.75,331.75,318.8,321.35,321.25,324.4,81925952,2657675757330000.0,547672,12979022,0.1584
2021-03-09,TATAMOTORS,EQ,321.25,325.0,328.35,309.6,315.15,315.2,318.35,74702208,2378146829310000.0,443980,11765184,0.1575
2021-03-10,TATAMOTORS,EQ,315.2,319.5,324.45,316.7,321.75,321.45,321.13,58643853,1883219659295000.0,332869,8419018,0.1436
2021-03-12,TATAMOTORS,EQ,321.45,325.05,326.5,314.15,317.45,317.55,320.29,48360842,1548947502345000.0,319107,9523477,0.19690000000000002
2021-03-15,TATAMOTORS,EQ,317.55,320.0,320.4,310.05,318.2,318.55,314.73,45083228,1418890647040000.0,307122,4375321,0.09699999999999999
2021-03-16,TATAMOTORS,EQ,318.55,321.0,321.9,315.1,319.0,319.95,318.53,39267404,1250792588745000.0,228406,3485798,0.0888
2021-03-17,TATAMOTORS,EQ,319.95,318.6,320.0,304.0,305.5,305.8,312.19,47262481,1475510172235000.0,315250,8660012,0.1832
2021-03-18,TATAMOTORS,EQ,305.8,311.0,316.6,299.75,308.0,307.0,309.64,73731921,2283062664915000.0,422219,5223142,0.0708
2021-03-19,TATAMOTORS,EQ,307.0,303.5,311.0,290.2,308.2,308.95,302.07,109932681,3320704360515000.0,562664,16755161,0.1524
2021-03-22,TATAMOTORS,EQ,308.95,306.45,307.5,300.1,302.85,303.05,303.74,56385019,1712617809325000.0,338962,6178761,0.10960000000000002
2021-03-23,TATAMOTORS,EQ,303.05,305.0,312.25,304.0,306.9,307.4,308.61,60240483,1859076550380000.0,349957,6705709,0.11130000000000001
2021-03-24,TATAMOTORS,EQ,307.4,303.55,305.0,293.2,294.75,294.45,299.54,61523819,1842909708330000.0,394777,9946893,0.1617
2021-03-25,TATAMOTORS,EQ,294.45,294.0,294.0,282.25,286.0,285.55,287.04,84528317,2426271331875000.0,511962,8894303,0.1052
2021-03-26,TATAMOTORS,EQ,285.55,290.5,301.4,290.5,296.75,296.4,296.4,80924011,2398553479625000.0,434783,7121742,0.08800000000000001
2021-03-30,TATAMOTORS,EQ,296.4,300.5,301.3,292.7,297.05,297.05,296.64,45257627,1342532571515000.0,267495,5114972,0.113
2021-03-31,TATAMOTORS,EQ,297.05,299.0,307.5,297.5,301.45,301.8,303.68,58569012,1778639969380000.0,325482,7088954,0.121
2021-04-01,TATAMOTORS,EQ,301.8,306.75,309.85,303.05,307.25,307.75,306.29,44088352,1350381654980000.0,268091,4813315,0.1092
2021-04-05,TATAMOTORS,EQ,307.75,306.8,311.7,297.2,305.5,305.05,304.12,66178755,2012616922384999.8,346981,5081702,0.0768
2021-04-06,TATAMOTORS,EQ,305.05,306.15,313.8,304.8,308.0,307.75,309.29,63031783,1949503037984999.8,313806,7675387,0.1218
2021-04-07,TATAMOTORS,EQ,307.75,306.75,310.65,305.1,307.65,307.8,308.53,39073986,1205535369230000.0,194930,4952057,0.1267
2021-04-08,TATAMOTORS,EQ,307.8,307.9,319.8,307.5,314.0,313.95,315.34,62459774,1969633582684999.8,329382,9456962,0.1514
2021-04-09,TATAMOTORS,EQ,313.95,313.2,325.0,312.5,317.55,318.2,320.77,75462572,2420590060615000.0,412742,8649296,0.11460000000000001
2021-04-12,TATAMOTORS,EQ,318.2,307.85,307.85,282.9,287.5,286.55,292.83,105342538,3084725598155000.0,687082,20366565,0.1933
2021-04-13,TATAMOTORS,EQ,286.55,287.25,304.55,280.55,302.0,302.85,293.11,116874853,3425665088830000.0,571436,8020613,0.06860000000000001
2021-04-15,TATAMOTORS,EQ,302.85,303.0,307.55,296.5,302.2,303.5,301.87,75262749,2271945345745000.0,397148,7009105,0.0931
2021-04-16,TATAMOTORS,EQ,303.5,302.0,315.0,300.15,308.75,310.0,310.71,75330709,2340607756315000.0,408104,8967594,0.11900000000000001
2021-04-19,TATAMOTORS,EQ,310.0,295.0,304.5,292.8,301.7,301.4,299.92,65791784,1973209226055000.0,368946,6807491,0.1035
2021-04-20,TATAMOTORS,EQ,301.4,307.7,308.15,294.2,297.4,298.05,301.99,56740291,1713493399160000.0,293573,6928884,0.12210000000000001
2021-04-22,TATAMOTORS,EQ,298.05,294.0,302.5,292.2,294.5,294.55,296.94,61022978,1812045426415000.2,324395,6645492,0.10890000000000001
2021-04-23,TATAMOTORS,EQ,294.55,291.0,300.0,290.5,293.2,294.0,295.04,58158986,1715907814965000.0,301111,5596892,0.0962
