Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,TATASTEEL,EQ,601.0,604.9,640.0,597.45,637.8,636.1,617.62,21084694,1302232549930000.0,245588,3493105,0.16570000000000001
2021-02-02,TATASTEEL,EQ,636.1,643.0,648.0,624.1,642.5,641.65,638.27,18048957,1152014026885000.0,203280,2613414,0.1448
2021-02-03,TATASTEEL,EQ,641.65,644.9,664.3,637.25,651.45,653.15,652.43,14846381,968625265400000.0,174344,1760748,0.1186
2021-02-04,TATASTEEL,EQ,653.15,654.0,663.5,638.6,658.0,655.95,654.43,14764995,966263639735000.0,150126,2153755,0.1459
2021-02-05,TATASTEEL,EQ,655.95,656.9,690.6,651.4,688.65,685.05,671.25,29100888,1953382816575000.0,331556,3589299,0.1233
2021-02-08,TATASTEEL,EQ,685.05,694.0,704.9,682.7,703.5,702.95,694.87,21462169,1491338559290000.0,245226,2397130,0.11170000000000001
2021-02-09,TATASTEEL,EQ,702.95,706.5,716.45,691.6,701.55,699.2,706.55,29337028,2072805651100000.0,313624,5427444,0.185
2021-02-10,TATASTEEL,EQ,699.2,710.0,724.5,680.05,691.65,690.25,697.91,57397919,4005857474675000.0,586586,4747972,0.0827
2021-02-11,TATASTEEL,EQ,690.25,687.6,704.6,682.85,693.45,694.7,693.98,16340705,1134016273430000.0,183590,1323035,0.081
2021-02-12,TATASTEEL,EQ,694.7,695.0,697.9,678.5,679.8,680.5,687.24,14705479,1010621380870000.1,173303,1936849,0.1317
2021-02-15,TATASTEEL,EQ,680.5,687.1,688.0,670.0,670.5,672.15,678.28,13171672,893410060435000.0,155303,1629945,0.12369999999999999
2021-02-16,TATASTEEL,EQ,672.15,672.15,708.6,668.3,697.65,699.2,699.14,33661838,2353450061435000.0,358185,4146585,0.1232
2021-02-17,TATASTEEL,EQ,699.2,697.65,703.5,687.5,695.4,696.8,695.72,15957483,1110197579390000.0,164188,1995610,0.1251
2021-02-18,TATASTEEL,EQ,696.8,700.0,711.0,694.0,695.95,697.75,703.63,14856147,1045323724154999.9,162453,1647955,0.1109
2021-02-19,TATASTEEL,EQ,697.75,696.0,696.0,655.95,669.4,670.7,675.46,22392386,1512522182340000.0,234654,3391932,0.1515
2021-02-22,TATASTEEL,EQ,670.7,672.9,697.9,670.85,680.0,684.55,686.85,28149109,1933430137725000.0,314287,6412312,0.2278
