Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,44_obs_for_SMA
2021-01-01,TECHM,EQ,973.2,976.0,981.2,971.2,975.95,977.95,977.58,1268291,123985541959999.98,32808,226140,0.1783,
2021-01-04,TECHM,EQ,977.95,980.6,1005.0,975.0,1003.0,1001.95,992.57,3515825,348971650455000.0,60632,845506,0.24050000000000002,
2021-01-05,TECHM,EQ,1001.95,1002.5,1007.95,991.3,1002.55,1003.85,1001.04,4040321,404451248280000.0,93354,1662330,0.4114,
2021-01-06,TECHM,EQ,1003.85,1004.0,1026.0,983.35,996.0,997.15,1007.08,4677359,471047432725000.0,96635,1201314,0.25680000000000003,
2021-01-07,TECHM,EQ,997.15,1005.5,1010.0,988.6,996.8,994.75,998.95,3354950,335144344635000.0,75721,1144537,0.3411,
2021-01-08,TECHM,EQ,994.75,1007.75,1060.0,1005.45,1048.0,1051.1,1038.55,9279370,963708263629999.9,139872,2712542,0.2923,
2021-01-11,TECHM,EQ,1051.1,1062.1,1081.55,1040.5,1076.8,1077.6,1060.93,6488791,688416969490000.0,128412,1603188,0.24710000000000001,
2021-01-12,TECHM,EQ,1077.6,1077.6,1077.65,1053.0,1063.0,1064.2,1063.87,4257926,452989290905000.0,112238,1835466,0.4311,
2021-01-13,TECHM,EQ,1064.2,1074.0,1078.75,1050.05,1065.4,1069.65,1066.41,4671772,498203627685000.06,122820,1944627,0.41630000000000006,
2021-01-14,TECHM,EQ,1069.65,1064.0,1064.0,1030.0,1054.95,1052.6,1049.54,4765344,500140605439999.94,139984,1598973,0.33549999999999996,
2021-01-15,TECHM,EQ,1052.6,1049.5,1062.8,1002.65,1011.0,1007.3,1022.59,6063896,620088197245000.0,139371,2344734,0.38670000000000004,
2021-01-18,TECHM,EQ,1007.3,998.0,1013.8,991.95,994.15,998.25,1002.63,4659705,467196745660000.06,136456,1874327,0.4022,
2021-01-19,TECHM,EQ,998.25,1006.6,1008.45,987.2,995.5,992.5,995.88,4416027,439783937045000.0,110734,1677710,0.3799,
2021-01-20,TECHM,EQ,992.5,997.0,1023.4,997.0,1019.45,1019.45,1016.24,4687853,476398317514999.94,93591,1194845,0.2549,
2021-01-21,TECHM,EQ,1019.45,1026.0,1033.35,994.5,1008.0,1004.7,1013.27,3911527,396344246530000.0,105731,1368077,0.3498,
2021-01-22,TECHM,EQ,1004.7,1004.7,1005.0,975.0,982.0,980.85,985.26,3922421,386458949405000.0,121187,1835085,0.4678,
2021-01-25,TECHM,EQ,980.85,985.85,997.9,962.2,977.0,972.05,980.72,2751784,269871912680000.03,69731,1231644,0.4476,
2021-01-27,TECHM,EQ,972.05,978.0,1004.9,973.65,997.55,997.1,991.82,6975618,691858488580000.0,123094,3288822,0.4715,
2021-01-28,TECHM,EQ,997.1,990.0,990.0,965.0,982.0,981.6,974.94,4274190,416709944490000.0,107154,1104071,0.2583,
2021-01-29,TECHM,EQ,981.6,990.1,995.9,956.0,961.05,961.4,974.13,4425911,431141179945000.0,100507,1840066,0.4157,
2021-02-01,TECHM,EQ,961.4,961.9,961.9,921.15,947.95,941.75,938.77,6321189,593412344280000.0,205929,2246276,0.3554,
2021-02-02,TECHM,EQ,941.75,955.0,972.9,937.5,957.0,957.2,952.03,4971530,473303543285000.06,151720,1904487,0.38310000000000005,
2021-02-03,TECHM,EQ,957.2,965.0,1000.0,960.1,983.9,981.45,984.43,5640121,555231523514999.94,123433,1943481,0.3446,
2021-02-04,TECHM,EQ,981.45,987.95,988.0,964.3,968.6,969.2,970.87,4232910,410959482630000.0,112818,2211113,0.5224,
2021-02-05,TECHM,EQ,969.2,972.35,980.85,950.05,960.0,959.4,962.01,3077720,296080387780000.0,66606,1266254,0.4114,
2021-02-08,TECHM,EQ,959.4,969.8,993.0,960.55,984.0,982.55,979.64,3713579,363798143095000.0,102104,1221486,0.3289,
2021-02-09,TECHM,EQ,982.55,978.6,999.8,967.25,975.95,975.1,985.09,3086774,304073995650000.0,85972,1049101,0.33990000000000004,
2021-02-10,TECHM,EQ,975.1,975.5,980.25,957.6,977.0,974.9,969.06,2776301,269040693380000.03,101957,1269223,0.4572,
2021-02-11,TECHM,EQ,974.9,975.0,988.65,972.85,987.0,985.6,981.06,2070435,203122031700000.0,57714,710605,0.3432,
2021-02-12,TECHM,EQ,985.6,990.0,1009.0,986.25,989.0,991.2,997.15,5863879,584718867815000.0,121883,1756068,0.2995,
2021-02-15,TECHM,EQ,991.2,996.0,996.0,977.5,982.9,979.2,984.46,2487825,244916790560000.0,59893,815184,0.32770000000000005,
