Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,TITAN,EQ,1420.3,1437.8,1508.55,1423.65,1505.75,1501.55,1469.39,2215933,325606014160000.0,74312,575223,0.2596
2021-02-02,TITAN,EQ,1501.55,1515.0,1536.0,1482.0,1488.0,1485.45,1504.37,1974202,296993020100000.0,65640,609974,0.309
2021-02-03,TITAN,EQ,1485.45,1492.0,1529.0,1492.0,1520.1,1525.15,1518.24,1853072,281341504710000.0,66399,579077,0.3125
2021-02-04,TITAN,EQ,1525.15,1530.0,1540.0,1488.1,1511.95,1513.6,1507.87,2728965,411492447235000.0,79930,534321,0.19579999999999997
2021-02-05,TITAN,EQ,1513.6,1518.55,1538.95,1504.5,1512.65,1509.45,1519.44,1344007,204213616575000.0,52568,362620,0.2698
2021-02-08,TITAN,EQ,1509.45,1514.0,1564.85,1510.05,1544.95,1541.7,1544.44,2683198,414404481450000.0,87166,712388,0.2655
2021-02-09,TITAN,EQ,1541.7,1548.0,1584.65,1543.05,1562.0,1559.9,1570.09,2364475,371243765775000.0,86080,679826,0.28750000000000003
2021-02-10,TITAN,EQ,1559.9,1575.4,1588.0,1526.0,1585.0,1563.15,1546.89,2125469,328786391305000.0,82319,555570,0.2614
2021-02-11,TITAN,EQ,1563.15,1552.0,1575.9,1511.25,1524.9,1524.7,1527.93,5970196,912204268990000.0,157887,1742137,0.2918
2021-02-12,TITAN,EQ,1524.7,1536.7,1536.7,1491.0,1495.0,1494.2,1510.01,3284441,495954423480000.0,82509,1369447,0.4169
2021-02-15,TITAN,EQ,1494.2,1506.0,1518.5,1476.75,1484.3,1484.75,1490.96,3156535,470625255130000.0,100270,972054,0.3079
2021-02-16,TITAN,EQ,1484.75,1492.15,1505.0,1461.0,1475.0,1471.85,1479.88,3090249,457320990975000.0,97872,901055,0.2916
2021-02-17,TITAN,EQ,1471.85,1469.4,1483.0,1449.5,1463.8,1460.4,1469.52,2096959,308152334560000.0,66724,791355,0.3774
2021-02-18,TITAN,EQ,1460.4,1465.1,1471.9,1429.0,1435.5,1433.0,1443.36,2686046,387693862490000.0,94013,954567,0.3554
2021-02-19,TITAN,EQ,1433.0,1434.0,1444.9,1412.8,1430.0,1425.55,1429.77,2543997,363734291065000.0,82173,984063,0.38680000000000003
2021-02-22,TITAN,EQ,1425.55,1425.0,1433.1,1396.0,1405.5,1405.25,1416.14,1931189,273484242755000.03,93183,804906,0.4168
