Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,UPL,EQ,560.65,548.9,548.9,510.0,535.8,534.1,523.87,20250736,1060870608910000.0,278573,4466143,0.2205
2021-02-02,UPL,EQ,534.1,541.0,568.5,541.0,564.75,566.3,559.07,13416792,750090674280000.0,153204,4237232,0.31579999999999997
2021-02-03,UPL,EQ,566.3,562.1,579.95,555.0,557.75,558.25,568.6,7268499,413284143525000.0,91011,1638095,0.2254
2021-02-04,UPL,EQ,558.25,558.7,568.55,544.3,548.9,548.05,554.14,6751111,374108176315000.0,90791,2049688,0.3036
2021-02-05,UPL,EQ,548.05,553.85,553.85,535.0,537.7,536.5,539.84,6377789,344297408895000.0,76497,2662734,0.4175
2021-02-08,UPL,EQ,536.5,538.0,546.0,528.15,538.2,538.3,537.8,8511429,457743847964999.94,99340,2879931,0.33840000000000003
2021-02-09,UPL,EQ,538.3,539.5,556.0,535.55,540.5,538.6,547.96,9171011,502533274400000.0,127221,1438599,0.1569
2021-02-10,UPL,EQ,538.6,543.0,546.45,532.45,534.8,534.4,537.57,4446858,239049088140000.0,60983,1379373,0.3102
2021-02-11,UPL,EQ,534.4,530.2,545.6,530.2,543.25,543.55,539.39,5684777,306628601395000.0,81516,927925,0.1632
2021-02-12,UPL,EQ,543.55,545.8,547.3,531.5,536.0,535.8,537.88,3043562,163708209875000.0,49098,575588,0.18910000000000002
2021-02-15,UPL,EQ,535.8,540.0,543.95,534.55,537.25,537.45,538.21,2569470,138290400705000.0,42459,475331,0.185
2021-02-16,UPL,EQ,537.45,542.65,545.65,537.1,538.65,538.95,540.84,2976504,160980643090000.0,42862,491591,0.16519999999999999
2021-02-17,UPL,EQ,538.95,525.3,542.6,525.3,537.3,539.0,538.0,2934589,157880235330000.0,41994,692691,0.23600000000000002
2021-02-18,UPL,EQ,539.0,536.35,556.6,532.0,541.3,541.05,546.24,6399026,349540347165000.0,91673,1353669,0.2115
2021-02-19,UPL,EQ,541.05,542.95,565.0,539.5,554.9,552.8,556.12,16693854,928379625385000.0,212933,3278117,0.19640000000000002
2021-02-22,UPL,EQ,552.8,556.0,560.95,536.55,539.65,539.75,550.44,7702962,424005059470000.0,102661,2655835,0.3448
2021-02-23,UPL,EQ,539.75,530.0,570.0,514.05,565.9,566.4,547.12,20867768,1141727426870000.0,225767,3990832,0.1912
2021-02-24,UPL,EQ,566.4,547.0,567.0,546.0,555.0,553.95,557.7,7229614,403195717025000.0,93084,1781432,0.2464
2021-02-25,UPL,EQ,553.95,560.8,597.0,559.0,594.5,593.0,581.32,16764202,974536415190000.0,202069,3442431,0.2053
2021-02-26,UPL,EQ,593.0,585.0,589.4,555.45,560.95,561.55,575.58,11511171,662554649300000.0,145877,2808457,0.244
2021-03-01,UPL,EQ,561.55,570.0,592.7,570.0,590.0,590.6,584.97,8570035,501320717830000.0,115229,902737,0.10529999999999999
2021-03-02,UPL,EQ,590.6,603.0,608.8,580.15,589.15,589.45,589.68,10602015,625184090885000.0,138231,1563452,0.1475
2021-03-03,UPL,EQ,589.45,595.8,616.85,589.2,613.95,613.6,601.62,8740632,525854135360000.06,112073,1910442,0.2186
2021-03-04,UPL,EQ,613.6,602.0,631.45,599.1,614.5,615.45,618.86,14124256,874089238740000.0,181716,2279998,0.16140000000000002
2021-03-05,UPL,EQ,615.45,615.45,615.9,586.0,593.3,591.55,598.92,7517590,450246767230000.0,107667,1508268,0.2006
2021-03-08,UPL,EQ,591.55,601.0,636.2,600.0,633.45,629.95,620.69,14163149,879094624810000.0,187037,2251122,0.1589
2021-03-09,UPL,EQ,629.95,634.0,637.7,611.25,624.95,624.9,622.67,10566829,657962335850000.0,139695,1555148,0.1472
2021-03-10,UPL,EQ,624.9,630.6,630.6,612.5,621.0,621.3,617.94,5583509,345027200185000.0,75234,1039473,0.1862
2021-03-12,UPL,EQ,621.3,626.6,632.95,614.1,618.55,620.3,623.64,4994965,311503901855000.0,73623,1081334,0.2165
2021-03-15,UPL,EQ,620.3,623.3,625.45,604.45,619.45,621.35,617.01,5438311,335548911505000.0,74190,763585,0.1404
2021-03-16,UPL,EQ,621.35,625.05,639.55,616.55,620.1,620.25,628.44,8396917,527693077250000.0,133712,1269062,0.15109999999999998
2021-03-17,UPL,EQ,620.25,623.65,626.85,605.0,609.0,609.2,619.2,4503677,278868158675000.0,60782,869598,0.1931
2021-03-18,UPL,EQ,609.2,617.65,622.8,594.05,602.0,601.3,610.48,6154177,375702811005000.0,85001,703583,0.1143
