Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-01,WIPRO,EQ,417.9,416.1,423.8,408.2,423.05,421.5,415.3,15081852,626346780645000.0,160816,3402788,0.2256
2021-02-02,WIPRO,EQ,421.5,428.0,435.55,423.65,427.9,428.35,427.93,13310498,569600826530000.0,111916,2813870,0.2114
2021-02-03,WIPRO,EQ,428.35,430.2,439.95,430.2,435.0,433.5,436.37,9897666,431903302139999.94,103571,2275292,0.2299
2021-02-04,WIPRO,EQ,433.5,433.5,436.9,428.25,430.4,429.9,430.85,7193299,309924826230000.0,74478,1906324,0.265
2021-02-05,WIPRO,EQ,429.9,432.0,433.4,420.55,426.5,425.55,424.89,8679026,368762585955000.0,88201,2817052,0.3246
2021-02-08,WIPRO,EQ,425.55,430.35,437.7,426.3,436.3,435.3,431.95,12516340,540637873125000.0,114768,3323421,0.2655
2021-02-09,WIPRO,EQ,435.3,440.25,451.75,435.2,441.5,439.35,445.17,29474830,1312122047985000.0,232757,5599448,0.19
2021-02-10,WIPRO,EQ,439.35,442.0,444.15,435.0,439.7,439.0,438.83,10607735,465500130200000.0,86594,2999030,0.2827
2021-02-11,WIPRO,EQ,439.0,439.0,440.5,433.4,440.2,437.0,436.02,9237026,402751816070000.0,77279,2532694,0.2742
2021-02-12,WIPRO,EQ,437.0,440.0,449.2,439.6,441.7,442.0,444.59,19280834,857212807315000.0,164996,3151753,0.1635
2021-02-15,WIPRO,EQ,442.0,444.6,444.9,436.8,440.6,439.7,440.59,7844877,345640848920000.0,70216,2161564,0.2755
2021-02-16,WIPRO,EQ,439.7,446.0,447.8,433.8,437.85,437.55,440.41,12453798,548477961500000.0,104505,2065281,0.16579999999999998
2021-02-17,WIPRO,EQ,437.55,435.9,439.0,428.5,430.3,430.2,432.63,7390192,319718684610000.0,80438,1740406,0.23550000000000001
2021-02-18,WIPRO,EQ,430.2,430.3,436.65,429.35,433.1,432.95,432.81,8385736,362941194005000.0,71721,1991955,0.23750000000000002
2021-02-19,WIPRO,EQ,432.95,433.15,435.75,426.1,430.6,429.95,431.28,8478666,365668649110000.0,86014,2010960,0.2372
2021-02-22,WIPRO,EQ,429.95,430.7,432.85,416.0,417.9,418.7,422.91,10666087,451081228810000.06,134823,3348376,0.3139
2021-02-23,WIPRO,EQ,418.7,419.7,426.0,414.3,415.95,415.5,419.17,8992353,376928040805000.0,111306,2574867,0.2863
2021-02-24,WIPRO,EQ,415.5,417.7,425.8,414.75,423.9,423.1,419.2,5060297,212129770350000.0,58620,1735522,0.34299999999999997
2021-02-25,WIPRO,EQ,423.1,423.1,429.0,420.45,421.95,421.3,424.69,9110392,386913557775000.0,87331,2826580,0.3103
2021-02-26,WIPRO,EQ,421.3,417.95,419.85,408.0,409.1,410.3,413.09,11731941,484633518135000.06,134357,4027619,0.3433
2021-03-01,WIPRO,EQ,410.3,411.0,418.7,409.2,416.0,414.4,414.87,6421696,266419168705000.03,73357,2100878,0.3272
2021-03-02,WIPRO,EQ,414.4,419.7,433.1,418.25,433.0,430.4,426.86,14875234,634966183405000.0,138374,3498282,0.2352
2021-03-03,WIPRO,EQ,430.4,433.0,436.65,428.25,434.75,435.5,433.26,8782452,380507733770000.0,105714,2093994,0.2384
